strain,reference_strain,isotype,previous_names,release,source_lab,collection_group,c_label,s_label,latitude,longitude,landscape,substrate,substrate_comment,substrate_temp,ambient_temp,substrate_moisture,ambient_humidity,photo,isolated_by,sampled_by,isolation_date,isolation_date_comment,notes,state,country
EG4946,1,EG4946,NA,20160408,EG,,,,40.72596,-111.82184,Agricultural land,Rotting nut,"rotting nuts, walnuts",NA,NA,NA,NA,NA,M. Ailion,G. Hollopeter,9/27/07,NA,NA,Utah,United States
JU1242,1,JU1242,F2,20160408,JU,,,,49.1269,1.9595,Rural garden,Slug,"live mollusk, slug",NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,10/14/07,NA,"Isolated from a small black slug (Deroceras?) collected in Santeuil, Viosne valley, Val d’Oise, on 14 Oct 07 below the apple tree with apples #6&7. Not bleached.",Île-de-France,France
JU1246,1,JU1246,14.1.1,20160408,JU,,,,49.12618,1.96152,Agricultural land,Rotting fruit,"rotting fruit, apple",NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,10/14/07,NA,"Isolated from a rotting apple (#14) collected above Santeuil, Viosne valley, Val d’Oise, on 14 Oct 07. Egl adult on 15 Oct. Bleached.",Île-de-France,France
JU1249,1,JU1249,14.1.5,20170531,JU,,,,49.126,1.951,Rural garden,Rotting fruit,rotting fruit: apple,NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,10/14/07,NA,NA,Île-de-France,France
WN2002,1,WN2002,NA,20160408,WN,,,,51.975285,5.694834,Rural garden,Compost,compost heap,NA,NA,NA,NA,NA,J. Riksen,J. Riksen,11/20/07,NA,NA,Gelderland,Netherlands
QX1233,1,QX1233,NA,20160408,QX,,,,37.8804,-122.2838,Urban garden,Compost,compost heap,NA,NA,NA,NA,NA,M. Rockman,M. Rockman,11/24/07,NA,NA,California,United States
QX1215,0,QX1211,NA,20160408,QX,,,,37.7502,-122.4331,Urban garden,Rotting fruit,soil under rotting orange,NA,NA,NA,NA,NA,M. Rockman,M. Rockman,11/26/07,NA,NA,California,United States
QX1216,0,QX1211,NA,20160408,QX,,,,37.7502,-122.4331,Urban garden,Rotting fruit,soil under rotting orange,NA,NA,NA,NA,NA,M. Rockman,M. Rockman,11/26/07,NA,NA,California,United States
QX1213,0,QX1212,NA,20160408,QX,,,,37.7502,-122.4331,Urban garden,Rotting fruit,soil under rotting orange,NA,NA,NA,NA,NA,M. Rockman,M. Rockman,11/26/07,NA,NA,California,United States
QX1214,0,QX1212,NA,20160408,QX,,,,37.7502,-122.4331,Urban garden,Rotting fruit,soil under rotting orange,NA,NA,NA,NA,NA,M. Rockman,M. Rockman,11/26/07,NA,NA,California,United States
QX1211,1,QX1211,NA,20160408,QX,,,,37.7502,-122.4331,Urban garden,Rotting fruit,soil under rotting orange,NA,NA,NA,NA,NA,M. Rockman,M. Rockman,11/26/07,NA,NA,California,United States
QX1212,1,QX1212,NA,20160408,QX,,,,37.7502,-122.4331,Urban garden,Rotting fruit,soil under rotting orange,NA,NA,NA,NA,NA,M. Rockman,M. Rockman,11/26/07,NA,NA,California,United States
DL200,1,DL200,NA,20160408,DL,,,,9.03,38.74,Urban garden,Soil,garden soil in an orphanage,NA,NA,NA,NA,NA,D. Denver,D. Denver,12/1/07,only year and month (Dec. 2007) are known,NA,Oromia,Ethiopia
DL226,1,DL226,NA,20160408,DL,,,,44.5633,-123.2821,Urban garden,Soil,leaf litter/soil on Oregon State campus,NA,NA,NA,NA,NA,C. Hilburn,C. Hilburn,1/1/08,only year (2008) is known,NA,Oregon,United States
JU1395,1,JU1395,E121,20160408,JU,,,,47.2199,0.04619,Agricultural land,Compost,compost heap,NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,3/1/08,NA,"Isolated from shiitake mushroom compost remains outside the mushroom farm “Le Saut-aux-Loups”, Montsoreau (49), France, sampled 1/3/2008. Not independent from JU1394.",Pays de la Loire,France
JU1400,1,JU1400,E2.9.1,20160408,JU,,,,37.3845,-5.988,Rural garden,Rotting fruit,"rotting fruit, orange",NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,3/29/08,NA,"Isolated from rotting orange fruits, Garden Catalina de Ribera, Sevilla, Spain sampled on 29 Mar 08 by MAF. Not bleached.",Andalucía,Spain
JU1401,0,JU1409,E6.4.1,20160408,JU,,,,37.4721,-5.6331,Rural garden,Snail,"live mollusk, snail",NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,3/31/08,NA,"Isolated from Rumina decollata snail #4, sampled in front of the Parador of Carmona, Spain on 31 Mar 08 by MAF. Plated 3 Apr 08. Isolated as adult on 9 Apr 08.",Andalusia,Spain
JU1409,1,JU1409,E7.6.1,20160408,JU,,,,37.468,-5.637,Rural garden,Rotting fruit,"rotting fruit, Opuntia ficus-indica",NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,3/31/08,NA,"Isolated from rotting Opuntia ficus-indica cactus fruit, sampled next to the road below the Parador of Carmona, Spain on 31 Mar 08 by MAF (approx. 400 m from JU1400-8). Plated 3 Apr 08. Isolated as adult on 4 Apr 08 (large population). Not bleached, contaminants kept.",Andalucía,Spain
JU1440,1,JU1440,B7.2.1,20160408,JU,,,,41.41307,2.15231,Urban garden,Rotting fruit,"rotting fruit, palm",NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,6/9/08,NA,"Isolated from rotting palm fruit sampled by MAF on 9 June 2008 in the Park Guëll, Barcelona, Spain. Picked as young adult on 11 June 2008.",Catalunya,Spain
WN2010,0,WN2001,NA,20160408,WN,,,,51.954422,6.303406,NA,Compost,snail from organic waste bin,NA,NA,NA,NA,NA,NA,J. Riksen,6/26/08,NA,NA,Gelderland,Netherlands
WN2011,0,WN2001,NA,20160408,WN,,,,51.954422,6.303406,NA,Compost,snail from organic waste bin,NA,NA,NA,NA,NA,NA,J. Riksen,6/26/08,NA,NA,Gelderland,Netherlands
WN2013,0,WN2001,NA,20160408,WN,,,,51.954422,6.303406,NA,Compost,snail from organic waste bin,NA,NA,NA,NA,NA,NA,J. Riksen,6/26/08,NA,NA,Gelderland,Netherlands
WN2014,0,WN2001,NA,20160408,WN,,,,51.954422,6.303406,NA,Compost,snail from organic waste bin,NA,NA,NA,NA,NA,NA,J. Riksen,6/26/08,NA,NA,Gelderland,Netherlands
WN2016,0,WN2001,NA,20160408,WN,,,,51.954422,6.303406,NA,Compost,snail from organic waste bin,NA,NA,NA,NA,NA,NA,J. Riksen,6/26/08,NA,NA,Gelderland,Netherlands
WN2017,0,WN2001,NA,20160408,WN,,,,51.954422,6.303406,NA,Compost,snail from organic waste bin,NA,NA,NA,NA,NA,NA,J. Riksen,6/26/08,NA,NA,Gelderland,Netherlands
WN2018,0,WN2001,NA,20160408,WN,,,,51.954422,6.303406,NA,Compost,snail from organic waste bin,NA,NA,NA,NA,NA,NA,J. Riksen,6/26/08,NA,NA,Gelderland,Netherlands
WN2019,0,WN2001,NA,20160408,WN,,,,51.954422,6.303406,NA,Compost,snail from organic waste bin,NA,NA,NA,NA,NA,NA,J. Riksen,6/26/08,NA,NA,Gelderland,Netherlands
WN2020,0,WN2001,NA,20160408,WN,,,,51.954422,6.303406,NA,Compost,snail from organic waste bin,NA,NA,NA,NA,NA,NA,J. Riksen,6/26/08,NA,NA,Gelderland,Netherlands
WN2021,0,WN2001,NA,20160408,WN,,,,51.954422,6.303406,NA,Compost,snail from organic waste bin,NA,NA,NA,NA,NA,NA,J. Riksen,6/26/08,NA,NA,Gelderland,Netherlands
WN2001,1,WN2001,NA,20160408,WN,,,,51.954422,6.303406,NA,Compost,snail from organic waste bin,NA,NA,NA,NA,NA,NA,J. Riksen,6/26/08,NA,NA,Gelderland,Netherlands
DL238,1,DL238,NA,20160408,DL,,,,19.11,-155.81,Forest,Leaf litter,leaves on side of hiking path at Manuka State Park,NA,NA,NA,NA,NA,J. Knapp,J. Knapp,7/15/08,NA,NA,Hawaii,United States
JU1491,1,JU1491,B10S8,20160408,JU,,,,46.63,1.06,Forest,Rotting stem,"rotting stem, Arum maculata",NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,8/17/08,NA,"Isolated from rotting Arum maculata stems sampled on 17 Aug 2008 by MAF in woods near Le Blanc (Indre, France). Plated on 18 Aug, picked as a L4 larva on 18 Aug.",Centre,France
NIC242,1,NIC242,NA,20160408,NIC,,,,38.691765,-9.31609,Urban garden,Rotting fruit,rotting plant/fruits,NA,NA,NA,NA,NA,C. Braendle,C. Braendle,8/17/08,NA,Isolated at IGC (Instituto Gulbenkian de Ciência),Lisbon Metropolitan Area,Portugal
ECA615,0,JU1581,JU1516-MAF,20170531,JU,,,,48.7015,2.1725,Rural garden,Rotting fruit,"rotting fruit, apple",NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,9/8/08,NA,NA,Île-de-France,France
JU1543,1,JU1543,O28.1.1,20170531,JU,,,,48.7015,2.1725,Rural garden,Rotting fruit,"rotting fruit, apple",NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,9/8/08,NA,NA,Île-de-France,France
JU1516,0,JU1581,O13.1.1,20160408,JU,,,,48.7015,2.1725,Rural garden,Rotting fruit,"rotting fruit, apple",NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,9/9/08,NA,"Isolated from a rotting apple O13 (ca. 10 m from O11), sampled in the Orsay orchard on 9 Sep 2008 ca. 13:00, plated ca. 18:00, picked as adult on 10 Sep.",Île-de-France,France
JU1530,1,JU1530,O21.1.1,20160408,JU,,,,48.7015,2.1725,Rural garden,Rotting fruit,"rotting fruit, apple",NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,9/9/08,NA,"Isolated from a rotting apple O21 (tree “Wealthy”, like O20), sampled in the Orsay orchard on 9 Sep 2008 ca. 14:00, plated ca. 18:00, picked as adult ca. 20:00.",Île-de-France,France
NIC1,1,NIC1,NA,20160408,NIC,,,,43.279,5.3543,NA,Rotting fruit,rotting fruit,NA,NA,NA,NA,NA,C. Braendle,C. Braendle,9/14/08,NA,NA,Provence-Alpes-Côte d'Azur,France
NIC2,1,NIC2,NA,20160408,NIC,,,,43.279,5.3543,Urban garden,Rotting plant,rotting plant,NA,NA,NA,NA,NA,C. Braendle,C. Braendle,9/14/08,NA,NA,Provence-Alpes-Côte d'Azur,France
NIC4,0,NIC3,NA,20160408,NIC,,,,43.3636,5.3215,NA,Fruit,rotting figs,NA,NA,NA,NA,NA,C. Braendle,C. Braendle,9/28/08,NA,NA,Provence-Alpes-Côte d'Azur,France
NIC3,1,NIC3,NA,20160408,NIC,,,,43.3636,5.3215,NA,Fruit,rotting figs,NA,NA,NA,NA,NA,C. Braendle,C. Braendle,9/28/08,NA,NA,Provence-Alpes-Côte d'Azur,France
JU1568,1,JU1568,I5.1.1,20160408,JU,,,,48.8092,2.3862,Urban garden,Rotting stem,"rotting stem, Petasites hybridus",NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,10/5/08,NA,"Isolated from a rotting Petasites stem (#I5) in Ivry-sur-Seine (Val de Marne), France, sampled on 5 Oct 2008. Plated on 6 Oct. Isolated as an adult on 6 Oct.",Île-de-France,France
JU1580,1,JU1580,O87.15,20160408,JU,,,,48.7015,2.1725,Rural garden,Rotting fruit,"rotting fruit, apple",NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,10/6/08,NA,"Isolated from rotting apple O87 (Calville Rouge d’Oullins) sampled by MAF in the Orsay (Essonne, France) orchard on 6 Oct 2008. Plated on 6 Oct, isolated as a L4 on 7 Oct.",Île-de-France,France
JU1807,0,JU1581,O145.1.1,20170531,JU,,,,48.662134,2.2131,Rural garden,Rotting fruit,rotting apple O145 (Kidd’s Orange),NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,10/23/08,NA,NA,Île-de-France,France
JU3131,0,JU323,O146.1,20170531,JU,,,,48.7015,2.1725,Rural garden,Rotting fruit,"rotting fruit, apple",NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,10/23/08,,NA,Île-de-France,France
JU1581,1,JU1581,O134.10,20160408,JU,,,,48.7015,2.1725,Rural garden,Rotting fruit,"rotting fruit, apple",NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,10/23/08,NA,"Isolated from rotting apple O134 (Calville d’Août) sampled by MAF in the Orsay (Essonne, France) orchard on 23 Oct 2008. Plated on 23 Oct, picked as a L2d on 23 Oct.",Île-de-France,France
JU1586,1,JU1586,B41.1,20160408,JU,,,,46.63,1.06,Rural garden,Rotting fruit,"rotting fruit, grape",NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,11/3/08,NA,"Isolated from rotting grape puree sampled in Le Blanc (Indre), France on 3 Nov 2008. Plated 3 Nov 2008, isolated as adult on 5 Nov.",Centre,France
JU1960,0,CB4858,NA,20170531,JU,,,,34.18973,-118.131319,Urban garden,Compost,compost in the same garden in Altadena as PS2025,NA,NA,NA,NA,NA,J. DeModena,J. DeModena,11/30/08,,NA,California,United States
JU1652,1,JU1652,UY1.1,20160408,JU,,,,-34.86,-56.19,Urban garden,Compost,compost heap,NA,NA,NA,NA,NA,NA,R. Giordano,1/1/09,NA,"Isolated from compost sampled in Montevideo, Uruguay",Departamento de Montevideo,Uruguay
JU1656,0,JU1213,P09-19.3,20170531,JU,,,,48.725018,-3.972104,Wet shrubland,Rotting stem,"rotting fern stem, Pteridium aquilinum",NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,7/14/09,NA,NA,Brittany,France
JU1666,1,JU1666,P09-21.1,20170531,JU,,,,48.725018,-3.972104,Wet shrubland,Rotting fruit,rotting sloe (Prunus spinosa),NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,7/14/09,NA,NA,Brittany,France
JU3139,0,JU1666,P143.6,20170531,JU,,,,48.71,-3.81,Rural garden,Rotting stem,rotting stems,NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,8/9/09,,NA,Brittany,France
JU3142,0,JU792,P143.9,20170531,JU,,,,48.71,-3.81,Rural garden,Rotting stem,rotting stems,NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,8/9/09,,NA,Brittany,France
JU3140,1,JU3140,P142.14,20170531,JU,,,,48.71,-3.81,Rural garden,Rotting stem,rotting stems,NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,8/9/09,,NA,Brittany,France
JU1762,0,JU1213,P142.6.1,20170531,JU,,,,48.695548,-3.790033,Wet shrubland,Rotting stem,rotting Heracleum stem,NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,8/16/09,NA,NA,Brittany,France
JU1770,0,JU1213,P132.4.1,20170531,JU,,,,48.695548,-3.790033,Wet shrubland,Rotting stem,rotting fern stem,NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,8/16/09,NA,NA,Brittany,France
JU1792,1,JU1792,B09.6.2,20170531,JU,,,,46.63278,1.064289,Forest,Rotting stem,rotting Arum stem sampled in woods,NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,9/27/09,NA,NA,Centre-Val de Loire,France
JU1793,1,JU1793,S53.9.1 ,20170531,JU,,,,49.12604,1.95114,Forest,Rotting stem,rotting Heracleum stem,NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,10/10/09,NA,NA,Île-de-France,France
JU1808,1,JU1808,I72.1,20170531,JU,,,,48.81257,2.395372,Urban garden,Snail,"live isopod, Helix aspersa snail",NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,10/14/09,NA,NA,Île-de-France,France
JU1920,0,JU1793,S60.1.1,20170531,JU,,,,49.12604,1.95114,Forest,Rotting stem,rotting Heracleum stem S60,NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,10/25/09,NA,NA,Île-de-France,France
JU1922,0,JU1793,S68.1.1,20170531,JU,,,,49.12604,1.95114,Forest,Rotting stem,rotting Heracleum stem S68,NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,10/25/09,NA,NA,Île-de-France,France
JU1929,0,JU1793,S86.1.1,20170531,JU,,,,49.12604,1.95114,Forest,Rotting stem,rotting Heracleum stem S86,NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,10/25/09,NA,NA,Île-de-France,France
JU1924,0,JU2600,S73.1.1,20170531,JU,,,,49.12604,1.95114,Forest,Rotting stem,rotting Heracleum stem S68,NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,10/25/09,NA,NA,Île-de-France,France
JU1934,1,JU1934,S106.1.1,20170531,JU,,,,49.12604,1.95114,Forest,Rotting stem,rotting Heracleum stem S106,NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,10/25/09,NA,NA,Île-de-France,France
JU1896,1,JU1896,NA,20160408,JU,,,,37.999722,23.749673,Urban garden,Rotting fruit,"rotting fruit, olive",NA,NA,NA,NA,NA,M. Barkoulas,M. Barkoulas,1/2/10,NA,"Collected on 2 Jan 10 from rotten olives in Alsos Polygonou, Athens, Greece.",Attica,Greece
JU2001,1,JU2001,NA,20160408,JU,,,,-21.1,55.5,Forest,Rotting flower,rotting flower,NA,NA,NA,NA,NA,T. Belicard,T. Belicard,9/1/10,only month/year (September 2010) is known,Sampled in La Réunion in Sep 2010 by Tony Belicard,Saint-Benoît,Reunion
JU2828,0,JU2829,B10_6.1,20170531,JU,,,,46.632,1.064,NA,Rotting fruit,"rotting fruit, pears",NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,10/3/10,NA,NA,Centre-Val de Loire,France
JU2830,0,JU2829,B10_6.3,20170531,JU,,,,46.632,1.064,NA,Rotting fruit,"rotting fruit, pears",NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,10/3/10,NA,NA,Centre-Val de Loire,France
JU2829,1,JU2829,B10_6.2,20170531,JU,,,,46.632,1.064,NA,Rotting fruit,"rotting fruit, pears",NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,10/3/10,NA,NA,Centre-Val de Loire,France
JU2007,1,JU2007,NA,20160408,JU,,,,50.7608,-1.32413,Rural garden,Rotting fruit,"rotting fruit, apple",NA,NA,NA,NA,NA,M. Barkoulas,M. Barkoulas,10/16/10,NA,"Wild strain isolated by Michalis Barkoulas in Cowes, Isle of Wight, UK from rotten apples. Oct 2010",England,United Kingdom
JU2016,1,JU2016,SF4.2,20170531,JU,,,,37.757593,-122.463177,Urban garden,Rotting fruit,"rotting fruit, pumpkin",NA,NA,NA,NA,NA,M.-A. Félix,C. Nelson,11/1/10,"only month/year (November 2010) is known, but we know it was late November","Isolated from rotten pumpkin sampled by Christopher Nelson in White Crane Garden, San Francisco, USA, in late November 2010",California,United States
JU2017,1,JU2017,SF5.2,20170531,JU,,,,37.757593,-122.463177,Urban garden,Rotting plant,"rotting root, sweet potato",NA,NA,NA,NA,NA,M.-A. Félix,C. Nelson,11/1/10,"only month/year (November 2010) is known, but we know it was late November","Isolated from rotten sweet potato sampled by Christopher Nelson in White Crane Garden, San Francisco, USA, in late November 2010",California,United States
GXW1,1,GXW1,NA,20160408,VX,,,,30.542889,114.419828,Urban garden,Rotting fruit,soil under kiwi fruit in botanical garden,NA,NA,NA,NA,NA,G. Wang,G. Wang,11/5/10,NA,soil under kiwi fruit in botanical garden,Hubei Sheng,China
QG537,0,QG536,QG537 #2,20160408,QG,,,,37.7679,-122.4415,Urban garden,Fruit,"rotten solanaceous fruit, Buena Vista Park",NA,NA,NA,NA,NA,NA,M. Rockman,12/30/10,NA,NA,California,United States
QG538,0,QG536,QG538 #2,20160408,QG,,,,37.7679,-122.4415,Urban garden,Fruit,"rotten solanaceous fruit, Buena Vista Park",NA,NA,NA,NA,NA,NA,M. Rockman,12/30/10,NA,NA,California,United States
QG536,1,QG536,QG536 #2,20160408,QG,,,,37.7679,-122.4415,Urban garden,Fruit,"rotten solanaceous fruit, Buena Vista Park",NA,NA,NA,NA,NA,NA,M. Rockman,12/30/10,NA,NA,California,United States
QX1791,1,QX1791,QX1791 #2,20160408,QX,,,,20.6344,-156.3935,Forest,Rotting bark,"rotting bark, base of eucalyptus tree",NA,NA,NA,NA,NA,E. Andersen,E. Andersen,1/27/11,NA,NA,Hawaii,United States
QX1792,1,QX1792,QX1792 #2,20160408,QX,,,,20.70554,-156.35475,Rural garden,Rotting fruit,rotting orange flowers,NA,NA,NA,NA,NA,E. Andersen,E. Andersen,1/28/11,NA,NA,Hawaii,United States
QX1793,1,QX1793,QX1793 #2,20160408,QX,,,,20.70559,-156.35678,Rural garden,Compost,Wilma's vermiculate compost bin,NA,NA,NA,NA,NA,E. Andersen,E. Andersen,1/28/11,NA,NA,Hawaii,United States
QX1794,1,QX1794,QX1794 #2,20160408,QX,,,,20.70559,-156.35678,Rural garden,Compost,Wilma's vermiculate compost bin,NA,NA,NA,NA,NA,E. Andersen,E. Andersen,1/28/11,NA,NA,Hawaii,United States
NIC199,1,NIC199,NA,20160408,NIC,,,,37.745428,-25.19929,Rural garden,Nut,hummus,NA,NA,NA,NA,NA,D. Bourc’his & J. Dumont,D. Bourc’his & J. Dumont,3/9/11,NA,NA,Azores,Portugal
NIC200,0,NIC199,NA,20160408,NIC,,,,37.74942,-25.66489,Rural garden,Fruit,unknown fruit,NA,NA,NA,NA,NA,D. Bourc’his & J. Dumont,D. Bourc’his & J. Dumont,5/9/11,NA,NA,Azores,Portugal
QG558,0,QG556,QG558 #2,20160408,QG,,,,34.421629,-119.702021,NA,Rotting fruit,"rotting orange beneath a non-edible fig tree; orange had large snail and two slugs
",NA,NA,NA,NA,NA,NA,A. Paaby,6/27/11,NA,NA,California,United States
QG556,1,QG556,NA,20160408,QG,,,,34.421629,-119.702021,NA,Rotting fruit,"rotting orange peel, with snails",NA,NA,NA,NA,NA,NA,A. Paaby,6/27/11,NA,NA,California,United States
QG557,1,QG557,NA,20160408,QG,,,,34.421629,-119.702021,NA,Rotting fruit,"rotting orange peel, with snails",NA,NA,NA,NA,NA,NA,A. Paaby,6/27/11,NA,NA,California,United States
MY518,1,MY518,NA,20170531,MY,,,,51.964154,7.611719,Botanical garden zoo,Compost,compost heap,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,7/8/11,NA,NA,North Rhine-Westphalia,Germany
JU2106,1,JU2106,13.6.1,20170531,JU,,,,43.606266,0.239824,Rural garden,Compost,compost heap,NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,7/10/11,NA,NA,Occitanie,France
JU2131,1,JU2131,Trep 1.4,20170531,JU,,,,48.0497,-4.705,Wet shrubland,Rotting stem,"rotting stem, Heracleum sphondylium",NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,8/9/11,NA,"Isolated from a rotting Heracleum stem sampled by MAF in Baie des Trépassés (Finistère), France (48.0497, -4.7050) on 9 Aug 2011. Collected at ca. 20 cm from JU2132",Brittany,France
NIC195,1,NIC195,NA,20160408,NIC,,,,38.545874,-28.37322,Rural garden,Fruit,apple,NA,NA,NA,NA,NA,D. Bourc’his & J. Dumont,D. Bourc’his & J. Dumont,8/22/11,NA,NA,Azores,Portugal
NIC196,0,NIC195,NA,20160408,NIC,,,,38.4716405,-28.20149,Rural garden,Fruit,grapes,NA,NA,NA,NA,NA,D. Bourc’his & J. Dumont,D. Bourc’his & J. Dumont,8/23/11,NA,NA,Azores,Portugal
NIC197,0,NIC195,NA,20160408,NIC,,,,38.39682,-28.25165,Rural garden,Fruit,apple,NA,NA,NA,NA,NA,D. Bourc’his & J. Dumont,D. Bourc’his & J. Dumont,8/23/11,NA,NA,Azores,Portugal
MY538,0,MY795,NA,20170531,MY,,,,54.346355,10.117737,Rural garden,Slug,brown slug,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,8/25/11,NA,NA,Schleswig-Holstein,Germany
MY589,0,MY920,NA,20170531,MY,,,,54.346355,10.117737,Botanical garden zoo,Compost,compost heap,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,8/25/11,NA,NA,Schleswig-Holstein,Germany
NIC198,0,NIC195,NA,20160408,NIC,,,,39.4364016,-31.23849,Rural garden,Nut,hummus,NA,NA,NA,NA,NA,D. Bourc’his & J. Dumont,D. Bourc’his & J. Dumont,8/29/11,NA,NA,Azores,Portugal
MY561,0,MY2453,NA,20170531,MY,,,,51.950777,7.536628,Rural garden,Compost,compost heap,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,9/8/11,NA,NA,North Rhine-Westphalia,Germany
MY564,0,MY2453,NA,20170531,MY,,,,51.950777,7.536628,Rural garden,Compost,compost heap,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,9/8/11,NA,NA,North Rhine-Westphalia,Germany
MY570,0,MY2453,NA,20170531,MY,,,,51.950777,7.536628,Rural garden,Slug,brown slug,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,9/8/11,NA,NA,North Rhine-Westphalia,Germany
MY559,0,MY2573,NA,20170531,MY,,,,51.950723000000004,7.599099,Rural garden,Slug,brown slug,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,9/9/11,NA,NA,North Rhine-Westphalia,Germany
MY579,0,MY2573,NA,20170531,MY,,,,51.950723000000004,7.599099,Rural garden,Compost,compost heap,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,9/9/11,NA,NA,North Rhine-Westphalia,Germany
NIC207,1,NIC207,NA,20160408,NIC,,,,43.720505,7.24045,Rural garden,Rotting fruit,rotting oranges,NA,NA,NA,NA,NA,C. Braendle,C. Braendle,9/21/11,NA,NA,Provence-Alpes-Côte d'Azur,France
MY684,0,RC301,NA,20170531,MY,,,,54.346355,10.117737,Botanical garden zoo,Compost,compost heap,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,9/27/11,NA,NA,Schleswig-Holstein,Germany
MY679,1,MY679,NA,20170531,MY,,,,54.346355,10.117737,Botanical garden zoo,Compost,compost heap,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,9/27/11,NA,NA,Schleswig-Holstein,Germany
MY772,1,MY772,NA,20170531,MY,,,,54.346355,10.117737,Botanical garden zoo,Compost,compost heap,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,9/27/11,NA,NA,Schleswig-Holstein,Germany
MY741,0,MY920,NA,20170531,MY,,,,54.346355,10.117737,Botanical garden zoo,Compost,compost heap,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,10/10/11,NA,NA,Schleswig-Holstein,Germany
JU3132,1,JU3132,O695.1,20170531,JU,,,,48.7015,2.1725,Rural garden,Rotting fruit,"rotting fruit, apple",NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,10/10/11,,NA,Île-de-France,France
MY713,0,MY2453,NA,20170531,MY,,,,51.950777,7.536628,Rural garden,Compost,compost heap,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,10/12/11,NA,NA,North Rhine-Westphalia,Germany
MY710,0,MY2573,NA,20170531,MY,,,,51.950723000000004,7.599099,Rural garden,Compost,compost heap,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,10/12/11,NA,NA,North Rhine-Westphalia,Germany
JU2139,0,JU1793,B11.1.1,20170531,JU,,,,46.63278,1.064289,Forest,Rotting nut,rotting acorns sampled in woods,NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,10/23/11,NA,NA,Centre-Val de Loire,France
JU2141,1,JU2141,B11.10.1,20170531,JU,,,,46.6293,1.0512,Agricultural land,Rotting nut,rotting walnuts (outer layer),NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,10/23/11,NA,NA,Centre-Val de Loire,France
MY792,0,MY2453,NA,20170531,MY,,,,51.950777,7.536628,Rural garden,Compost,compost heap,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,10/24/11,NA,NA,North Rhine-Westphalia,Germany
