A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,samples,K_value
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.99988,1e-5,1e-5,1e-5,NA,NA,ECA703,13
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.99988,1e-5,1e-5,1e-5,1e-5,NA,NA,ECA705,13
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.99988,1e-5,1e-5,1e-5,NA,NA,ECA706,13
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.99988,1e-5,1e-5,1e-5,1e-5,NA,NA,ECA710,13
1e-5,1e-5,1e-5,1e-5,0.779305,1e-5,1e-5,1e-5,0.220585,1e-5,1e-5,1e-5,1e-5,NA,NA,ECA712,13
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.99988,1e-5,1e-5,1e-5,1e-5,1e-5,NA,NA,ECA722,13
1e-5,1e-5,1e-5,1e-5,1.7e-5,2e-5,1e-5,0.999861,1.2e-5,1e-5,1e-5,1e-5,1e-5,NA,NA,ECA723,13
1e-5,0.990206,0.009684,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,NA,NA,ECA724,13
1e-5,1e-5,1e-5,1e-5,1.9e-5,1e-5,1e-5,0.999865,1.7e-5,1e-5,1e-5,1e-5,1e-5,NA,NA,ECA730,13
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1.3e-5,1e-5,0.999877,1e-5,1e-5,1e-5,NA,NA,ECA732,13
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.99988,1e-5,1e-5,1e-5,NA,NA,ECA733,13
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.99988,1e-5,1e-5,1e-5,1e-5,NA,NA,ECA738,13
1e-5,0.999864,1.8e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1.9e-5,1e-5,1e-5,NA,NA,ECA740,13
1e-5,0.999877,1e-5,1e-5,1.2e-5,1e-5,1e-5,1e-5,1e-5,1.1e-5,1e-5,1e-5,1e-5,NA,NA,ECA741,13
1e-5,0.99988,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,NA,NA,ECA742,13
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.900305,1e-5,0.062538,1e-5,0.037057,NA,NA,ECA743,13
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.99988,1e-5,1e-5,1e-5,1e-5,1e-5,NA,NA,ECA744,13
1e-5,1e-5,1.6e-5,1e-5,1e-5,1e-5,1e-5,0.999874,1e-5,1e-5,1e-5,1e-5,1e-5,NA,NA,ECA745,13
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.99988,1e-5,1e-5,1e-5,1e-5,1e-5,NA,NA,ECA746,13
1e-5,1e-5,1e-5,1e-5,0.99988,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,NA,NA,ECA760,13
1e-5,1e-5,1e-5,1e-5,0.99988,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,NA,NA,ECA768,13
1e-5,1e-5,1e-5,1e-5,0.99988,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,NA,NA,ECA777,13
1e-5,1e-5,1e-5,1e-5,0.999878,1e-5,1e-5,1e-5,1.1e-5,1.1e-5,1e-5,1e-5,1e-5,NA,NA,ECA778,13
1e-5,1e-5,1e-5,1e-5,0.99988,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,NA,NA,ECA807,13
1e-5,1e-5,1e-5,1e-5,0.99988,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,NA,NA,ECA812,13
1e-5,1e-5,0.45417,1e-5,1e-5,1e-5,0.54572,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,NA,NA,ED3005,13
0.13754,1e-5,0.495012,0.140739,1e-5,1e-5,0.22661799999999999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,NA,NA,ED3011,13
1e-5,1e-5,1e-5,0.289492,1.5e-5,1.6e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.710387,NA,NA,ED3012,13
1e-5,1e-5,1e-5,0.534981,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.464909,1e-5,1e-5,NA,NA,ED3017,13
0.713691,1e-5,1e-5,0.286199,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,NA,NA,ED3040,13
0.297714,1e-5,1e-5,0.1231,1e-5,1e-5,0.579086,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,NA,NA,ED3046,13
0.307558,1e-5,1e-5,0.692332,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,NA,NA,ED3048,13
0.297282,1e-5,1e-5,0.108611,1e-5,1e-5,0.594007,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,NA,NA,ED3049,13
0.73403,1e-5,1e-5,0.26586,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,NA,NA,ED3052,13
0.028678,1e-5,1e-5,0.925189,1e-5,1e-5,0.046033,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,NA,NA,ED3073,13
0.187631,1e-5,1e-5,0.775263,1e-5,0.001076,1e-5,1e-5,1e-5,1e-5,0.035941,1e-5,1e-5,NA,NA,ED3077,13
1e-5,1e-5,0.066231,0.686212,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.247457,NA,NA,EG4347,13
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.998367,1e-5,1e-5,1e-5,0.001523,1e-5,1e-5,NA,NA,EG4349,13
0.645259,1e-5,1e-5,0.091114,1e-5,1e-5,0.185185,1e-5,1e-5,1e-5,0.038331,1e-5,0.04003,NA,NA,EG4724,13
0.613607,1e-5,1e-5,0.07731,1e-5,0.225343,0.083651,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,NA,NA,EG4725,13
1e-5,1e-5,0.509097,0.467846,1e-5,1.3e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.022955,NA,NA,EG4946,13
0.096902,1e-5,1e-5,0.902988,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,NA,NA,GXW1,13
0.0225,1e-5,1e-5,0.7002,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.135996,1e-5,0.141215,NA,NA,JT11398,13
0.195723,1e-5,1e-5,0.804167,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,NA,NA,JU1088,13
1e-5,1e-5,0.912753,0.087137,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,NA,NA,JU1172,13
1e-5,1e-5,1e-5,0.328601,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.671289,NA,NA,JU1200,13
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.07359,0.200873,1e-5,0.725437,NA,NA,JU1212,13
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.99988,1e-5,1e-5,NA,NA,JU1213,13
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.99988,1e-5,1e-5,NA,NA,JU1242,13
1e-5,1e-5,1e-5,1e-5,1.5e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.751571,1e-5,0.248314,NA,NA,JU1246,13
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1.1e-5,1e-5,1e-5,0.999879,NA,NA,JU1249,13
1e-5,1e-5,1e-5,0.7636,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.23629,NA,NA,JU1395,13
0.211125,1e-5,1e-5,1e-5,1e-5,1e-5,0.507469,1e-5,1e-5,1e-5,0.281306,1e-5,1e-5,NA,NA,JU1400,13
0.235916,1e-5,1e-5,0.240231,1e-5,1e-5,0.467435,1e-5,1e-5,1e-5,1e-5,1e-5,0.056328,NA,NA,JU1409,13
0.127686,1e-5,1e-5,0.674233,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.192278,1e-5,0.005713,NA,NA,JU1440,13
0.664946,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.334944,1e-5,1e-5,NA,NA,JU1491,13
1e-5,1e-5,1e-5,0.385524,1e-5,1e-5,0.026291,1e-5,1e-5,1e-5,0.588086,1e-5,1e-5,NA,NA,JU1530,13
1e-5,1e-5,1e-5,0.367639,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1.1e-5,1e-5,0.63225,NA,NA,JU1543,13
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.99988,NA,NA,JU1568,13
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.99988,1e-5,1e-5,NA,NA,JU1580,13
1e-5,1e-5,1e-5,0.205112,1e-5,1e-5,1e-5,1e-5,1e-5,0.051357,0.672213,1e-5,0.071228,NA,NA,JU1581,13
1e-5,1e-5,1e-5,0.148731,1e-5,1e-5,1e-5,1.1e-5,1e-5,1.2e-5,1e-5,1e-5,0.851156,NA,NA,JU1586,13
0.030234,1e-5,1e-5,0.413901,1e-5,0.00977,0.185364,1e-5,1e-5,1e-5,1e-5,1e-5,0.360651,NA,NA,JU1652,13
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.075159,1e-5,1e-5,1e-5,0.909079,1e-5,0.015662,NA,NA,JU1666,13
0.017367,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.298238,1e-5,0.684295,NA,NA,JU1792,13
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1.7e-5,0.999872,1.1e-5,1e-5,NA,NA,JU1793,13
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.672408,1e-5,1e-5,1e-5,0.123339,1e-5,0.204153,NA,NA,JU1808,13
1e-5,1e-5,1e-5,0.316395,1e-5,1e-5,1e-5,1e-5,1e-5,0.028483,1e-5,1e-5,0.655022,NA,NA,JU1896,13
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.899827,1e-5,0.100063,NA,NA,JU1934,13
0.261461,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.204196,0.503437,1e-5,0.030816,NA,NA,JU2001,13
0.179309,1e-5,1e-5,0.37199,1e-5,1e-5,0.273261,1e-5,1e-5,1e-5,0.17535,1e-5,1e-5,NA,NA,JU2007,13
1e-5,1e-5,0.859627,0.140263,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,NA,NA,JU2016,13
0.065538,1e-5,0.377744,0.284713,1e-5,1e-5,0.018812,1e-5,1e-5,0.00828,1e-5,0.180142,0.064711,NA,NA,JU2017,13
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.852787,1e-5,0.147103,NA,NA,JU2106,13
0.14658,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.8184,1e-5,0.034921,NA,NA,JU2131,13
1e-5,1e-5,1e-5,1e-5,1e-5,1.4e-5,1e-5,1e-5,1e-5,1e-5,0.779876,1e-5,0.220009,NA,NA,JU2141,13
0.03681,1e-5,1e-5,0.396368,1e-5,0.015637,1e-5,1e-5,1e-5,0.005159,1e-5,1e-5,0.545946,NA,NA,JU2234,13
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.99988,1e-5,1e-5,NA,NA,JU2250,13
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.99988,NA,NA,JU2257,13
1e-5,1e-5,1e-5,1e-5,1e-5,0.99988,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,NA,NA,JU2316,13
0.226222,1e-5,1e-5,0.58146,1e-5,1e-5,0.072892,1e-5,1e-5,1e-5,0.119336,1e-5,1e-5,NA,NA,JU2464,13
1e-5,1e-5,1e-5,0.99988,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,NA,NA,JU2466,13
1e-5,1e-5,0.414883,0.211689,1e-5,1e-5,1.1e-5,1e-5,1e-5,1e-5,0.373327,1e-5,1e-5,NA,NA,JU2478,13
0.022543,1e-5,1e-5,0.831105,1e-5,1e-5,0.078932,1e-5,1e-5,1e-5,1e-5,1e-5,0.06733,NA,NA,JU2513,13
0.340281,1e-5,1e-5,1e-5,1e-5,0.659609,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,NA,NA,JU2519,13
0.99988,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,NA,NA,JU2522,13
1e-5,1e-5,1e-5,1e-5,1e-5,0.99988,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,NA,NA,JU2526,13
1e-5,1e-5,1e-5,0.550075,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.449815,1e-5,1e-5,NA,NA,JU2534,13
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.99988,NA,NA,JU2565,13
1e-5,1e-5,1e-5,0.11682,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.104887,1e-5,0.778193,NA,NA,JU2566,13
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.99988,1e-5,1e-5,NA,NA,JU2570,13
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.288081,1e-5,0.711809,NA,NA,JU2572,13
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.157097,1e-5,0.842793,NA,NA,JU2575,13
1e-5,1e-5,1e-5,0.340991,1e-5,1e-5,1e-5,1e-5,1e-5,0.079481,0.567816,0.006924,0.004709,NA,NA,JU2576,13
0.508301,1e-5,0.006245,0.485354,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,NA,NA,JU2578,13
0.341737,1e-5,1e-5,1e-5,1e-5,0.328616,0.063389,1e-5,1e-5,0.113799,0.086463,1e-5,0.065925,NA,NA,JU258,13
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.682681,1e-5,1e-5,1e-5,1e-5,0.317209,1e-5,NA,NA,JU2581,13
0.723775,1e-5,1e-5,0.143872,1e-5,0.04603,1e-5,1e-5,1e-5,1e-5,0.086233,1e-5,1e-5,NA,NA,JU2586,13
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.99988,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,NA,NA,JU2587,13
0.070073,1e-5,1e-5,1e-5,1e-5,0.030032,1e-5,1.1e-5,1e-5,1e-5,0.074426,1e-5,0.825378,NA,NA,JU2592,13
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.845387,1e-5,1e-5,1e-5,1e-5,0.154503,1e-5,NA,NA,JU2593,13
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.99988,1e-5,1e-5,NA,NA,JU2600,13
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.99988,1e-5,1e-5,NA,NA,JU2610,13
0.091501,1e-5,0.22438,0.579046,1e-5,1e-5,0.104983,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,NA,NA,JU2619,13
1e-5,1e-5,1e-5,0.156464,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.377482,1e-5,0.465954,NA,NA,JU2800,13
0.312548,1e-5,1e-5,0.35897,1e-5,0.023137,1e-5,1e-5,1.1e-5,1e-5,1e-5,0.305254,1e-5,NA,NA,JU2811,13
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.99988,NA,NA,JU2825,13
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.821162,1e-5,1e-5,1e-5,1e-5,0.178728,1e-5,NA,NA,JU2829,13
0.549147,1e-5,0.085273,0.018818,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.019181,0.327501,1e-5,NA,NA,JU2838,13
1e-5,1e-5,1e-5,0.280457,1e-5,1e-5,0.46633,1e-5,1e-5,1e-5,0.253113,1e-5,1e-5,NA,NA,JU2841,13
0.367843,1e-5,1e-5,0.376351,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.255706,NA,NA,JU2853,13
0.125732,1e-5,0.508534,0.002481,1e-5,0.014777,0.223033,1e-5,1e-5,1e-5,0.114289,1e-5,0.011094,NA,NA,JU2862,13
1e-5,1e-5,0.760985,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.238905,1e-5,NA,NA,JU2866,13
0.123233,1e-5,0.08669,0.665055,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.124933,1e-5,NA,NA,JU2878,13
1e-5,1e-5,0.168806,0.183789,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.647305,1e-5,NA,NA,JU2879,13
1e-5,1e-5,1e-5,0.526975,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.27053,1e-5,0.202395,NA,NA,JU2906,13
1e-5,1e-5,1e-5,0.486278,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.513612,NA,NA,JU2907,13
1e-5,1e-5,1e-5,0.405455,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.594435,1e-5,1e-5,NA,NA,JU310,13
1e-5,1e-5,1e-5,0.072502,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.1328,1e-5,0.794598,NA,NA,JU311,13
0.447092,1e-5,1e-5,0.401314,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.151494,NA,NA,JU3125,13
0.535918,1e-5,0.089435,0.196405,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.178153,NA,NA,JU3127,13
1e-5,1e-5,1e-5,0.767958,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.231932,1e-5,1e-5,NA,NA,JU3128,13
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.99988,1e-5,1e-5,NA,NA,JU3132,13
0.092889,1e-5,1e-5,0.539372,1e-5,1e-5,0.25066,1e-5,1e-5,1e-5,0.105763,1e-5,0.011236,NA,NA,JU3134,13
1e-5,1e-5,1e-5,0.99988,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,NA,NA,JU3135,13
0.441916,1e-5,1e-5,0.078182,1e-5,1e-5,1e-5,1e-5,0.04059,1.5e-5,0.280049,1e-5,0.159178,NA,NA,JU3137,13
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.99988,1e-5,1e-5,NA,NA,JU3140,13
0.067577,1e-5,1e-5,1e-5,1e-5,1e-5,0.932313,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,NA,NA,JU3144,13
0.180339,1e-5,1e-5,0.394065,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.425496,1e-5,1e-5,NA,NA,JU323,13
1e-5,1e-5,1e-5,0.50156,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.49833,1e-5,1e-5,NA,NA,JU346,13
1e-5,1e-5,1e-5,0.189854,1e-5,1e-5,0.807242,1e-5,1e-5,1e-5,0.002804,1e-5,1e-5,NA,NA,JU360,13
1e-5,1e-5,1e-5,0.045013,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.954877,NA,NA,JU367,13
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.845495,1e-5,0.154395,NA,NA,JU393,13
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.99988,NA,NA,JU394,13
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.789496,1e-5,0.210394,NA,NA,JU397,13
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.99988,NA,NA,JU406,13
1e-5,1e-5,1e-5,0.211965,1e-5,1e-5,1.8e-5,1e-5,1e-5,1e-5,0.144182,1e-5,0.643746,NA,NA,JU440,13
1e-5,1e-5,1e-5,0.791801,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.02051,1e-5,0.18759,NA,NA,JU561,13
0.245946,1e-5,1e-5,0.431666,1e-5,1e-5,0.070208,1e-5,1e-5,1e-5,0.25209,1e-5,1e-5,NA,NA,JU642,13
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.99988,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,NA,NA,JU751,13
0.648674,1e-5,1e-5,0.237512,0.052554,1e-5,0.06117,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,NA,NA,JU774,13
0.083243,1e-5,1e-5,1e-5,1e-5,0.916643,1e-5,1e-5,1e-5,1.5e-5,1e-5,1e-5,1e-5,NA,NA,JU775,13
0.947661,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.052229,1e-5,1e-5,1e-5,1e-5,NA,NA,JU778,13
0.526923,1e-5,1e-5,0.033214,1.1e-5,0.439759,1.1e-5,1e-5,1e-5,1e-5,1.1e-5,1e-5,1e-5,NA,NA,JU782,13
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.99988,1e-5,1e-5,NA,NA,JU792,13
1e-5,1e-5,1e-5,0.277549,1e-5,1e-5,0.722341,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,NA,NA,JU830,13
1e-5,1e-5,1e-5,0.277382,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.559636,1e-5,0.162882,NA,NA,JU847,13
0.129762,1e-5,0.282816,0.54039,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.046942,1e-5,1e-5,NA,NA,KR314,13
0.99988,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,NA,NA,LKC34,13
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.99988,NA,NA,LSJ1,13
0.563426,1e-5,1e-5,0.254623,1e-5,1e-5,0.181851,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,NA,NA,MY1,13
0.095802,1e-5,1e-5,0.475004,1e-5,0.23711,0.191994,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,NA,NA,MY10,13
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.99988,1e-5,NA,NA,MY16,13
1e-5,1e-5,1e-5,1e-5,1.1e-5,1.2e-5,0.872558,1e-5,1e-5,1e-5,1e-5,1e-5,0.127329,NA,NA,MY18,13
1e-5,1e-5,1e-5,0.114973,1e-5,1e-5,1e-5,1e-5,0.022418,1e-5,0.400876,1e-5,0.461643,NA,NA,MY2147,13
1e-5,1e-5,1e-5,0.703348,1e-5,1e-5,0.192162,1e-5,1e-5,1e-5,0.10439,1e-5,1e-5,NA,NA,MY2212,13
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.99988,1e-5,NA,NA,MY23,13
0.098343,1e-5,1e-5,0.054471,1e-5,1e-5,0.12486,1e-5,1e-5,1e-5,0.193108,1e-5,0.529138,NA,NA,MY2453,13
0.058043,1e-5,1e-5,0.76,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.181857,1e-5,1e-5,NA,NA,MY2530,13
0.174273,1e-5,1e-5,0.705747,1e-5,1e-5,0.028294,1e-5,1e-5,1e-5,0.091597,1e-5,1e-5,NA,NA,MY2535,13
1e-5,1e-5,1e-5,1.1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.661771,1e-5,0.338118,NA,NA,MY2573,13
1e-5,1e-5,1e-5,0.901958,1e-5,1e-5,0.097932,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,NA,NA,MY2585,13
1e-5,1e-5,1e-5,0.99988,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,NA,NA,MY2693,13
1e-5,1e-5,1e-5,0.99988,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,NA,NA,MY2713,13
1e-5,1e-5,1e-5,0.319306,1e-5,1e-5,0.680584,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,NA,NA,MY2741,13
0.040335,1e-5,0.637797,1e-5,1e-5,1e-5,0.321768,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,NA,NA,MY518,13
0.180131,1e-5,0.012879,0.806889,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,NA,NA,MY679,13
1e-5,1e-5,1e-5,0.296538,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.703352,1e-5,1e-5,NA,NA,MY772,13
1e-5,1e-5,0.022005,1.2e-5,1e-5,1e-5,0.778931,1e-5,1e-5,1e-5,1e-5,1e-5,0.198963,NA,NA,MY795,13
1e-5,1e-5,1e-5,0.797214,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.202676,1e-5,1e-5,NA,NA,MY920,13
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.99988,NA,NA,N2,13
0.079669,1e-5,1e-5,0.532838,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.387392,1e-5,1e-5,NA,NA,NIC1,13
1e-5,1e-5,1e-5,0.033006,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.591699,1e-5,0.375195,NA,NA,NIC1049,13
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.205978,1e-5,0.793912,NA,NA,NIC1107,13
0.219973,1e-5,1e-5,0.378536,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.373787,1e-5,0.027615,NA,NA,NIC166,13
0.321132,1e-5,1e-5,1e-5,1e-5,0.258855,0.09798,1e-5,1e-5,0.154376,0.048268,1e-5,0.119318,NA,NA,NIC195,13
0.163554,1e-5,1e-5,1e-5,1e-5,0.447233,1e-5,1e-5,1e-5,0.098927,0.290196,1e-5,1e-5,NA,NA,NIC199,13
1e-5,1.1e-5,1e-5,0.588182,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1.1e-5,1e-5,0.411705,NA,NA,NIC2,13
