c_label,s_label,species_family,env_par,value,KM_pvalue
C-0790,S-05647,C. briggsae,ambient_humidity,86.1,0.13921566730939827
C-0799,S-05512,C. briggsae,ambient_humidity,83.1,0.13921566730939827
C-0800,S-07503,C. briggsae,ambient_humidity,83.9,0.13921566730939827
C-0803,S-05197,C. oiwi,ambient_humidity,81,0.13921566730939827
C-0846,S-05666,C. briggsae,ambient_humidity,70.6,0.13921566730939827
C-0878,S-05949,C. briggsae,ambient_humidity,81.8,0.13921566730939827
C-0905,S-06580,C. briggsae,ambient_humidity,88.3,0.13921566730939827
C-0913,S-06734,C. briggsae,ambient_humidity,83.4,0.13921566730939827
C-0921,S-05784,C. briggsae,ambient_humidity,78.5,0.13921566730939827
C-0923,S-05918,C. tropicalis,ambient_humidity,85.3,0.13921566730939827
C-0929,S-05958,C. briggsae,ambient_humidity,68.7,0.13921566730939827
C-0935,S-05703,C. briggsae,ambient_humidity,68.2,0.13921566730939827
C-0949,S-05772,C. briggsae,ambient_humidity,62.9,0.13921566730939827
C-0957,S-05770,C. briggsae,ambient_humidity,62.7,0.13921566730939827
C-0958,S-05741,C. briggsae,ambient_humidity,75.6,0.13921566730939827
C-0964,S-05736,C. briggsae,ambient_humidity,79.6,0.13921566730939827
C-0982,S-05954,C. briggsae,ambient_humidity,79,0.13921566730939827
C-0989,S-05794,C. tropicalis,ambient_humidity,58.4,0.13921566730939827
C-1000,S-05787,C. briggsae,ambient_humidity,76.6,0.13921566730939827
C-1002,S-05765,C. briggsae,ambient_humidity,76.9,0.13921566730939827
C-1004,S-05763,C. briggsae,ambient_humidity,77.1,0.13921566730939827
C-1018,S-05927,C. briggsae,ambient_humidity,70,0.13921566730939827
C-1019,S-05947,C. briggsae,ambient_humidity,69.8,0.13921566730939827
C-1026,S-05620,C. briggsae,ambient_humidity,92.6,0.13921566730939827
C-1029,S-05556,C. briggsae,ambient_humidity,84.7,0.13921566730939827
C-1031,S-05540,C. briggsae,ambient_humidity,96,0.13921566730939827
C-1032,S-05670,C. briggsae,ambient_humidity,85.6,0.13921566730939827
C-1033,S-05576,C. briggsae,ambient_humidity,77.7,0.13921566730939827
C-1041,S-05190,C. briggsae,ambient_humidity,97.5,0.13921566730939827
C-1042,S-05203,C. briggsae,ambient_humidity,97.5,0.13921566730939827
C-1044,S-07474,C. briggsae,ambient_humidity,95.5,0.13921566730939827
C-1047,S-05530,C. briggsae,ambient_humidity,97,0.13921566730939827
C-1073,S-05234,C. briggsae,ambient_humidity,86.7,0.13921566730939827
C-1074,S-05661,C. briggsae,ambient_humidity,97.5,0.13921566730939827
C-1079,S-05213,C. oiwi,ambient_humidity,79.4,0.13921566730939827
C-1083,S-05799,C. tropicalis,ambient_humidity,77.4,0.13921566730939827
C-1089,S-05709,C. briggsae,ambient_humidity,75.5,0.13921566730939827
C-1121,S-05732,C. briggsae,ambient_humidity,76.6,0.13921566730939827
C-1142,S-06560,C. elegans,ambient_humidity,80.4,0.13921566730939827
C-1175,S-05886,C. elegans,ambient_humidity,79.9,0.13921566730939827
C-1185,S-06607,C. briggsae,ambient_humidity,90.2,0.13921566730939827
C-1218,S-06745,C. briggsae,ambient_humidity,81,0.13921566730939827
C-1245,S-06621,C. tropicalis,ambient_humidity,74.4,0.13921566730939827
C-1329,S-06571,C. elegans,ambient_humidity,90.1,0.13921566730939827
C-1369,S-06654,C. briggsae,ambient_humidity,93.4,0.13921566730939827
C-1371,S-06647,C. briggsae,ambient_humidity,76.3,0.13921566730939827
C-1402,S-06897,C. briggsae,ambient_humidity,69.1,0.13921566730939827
C-1480,S-06857,C. elegans,ambient_humidity,65.3,0.13921566730939827
C-1489,S-06823,C. elegans,ambient_humidity,67.3,0.13921566730939827
C-1513,S-06906,C. briggsae,ambient_humidity,73.3,0.13921566730939827
C-2527,S-06740,C. briggsae,ambient_humidity,73.1,0.13921566730939827
C-2530,S-06892,C. briggsae,ambient_humidity,65.3,0.13921566730939827
C-2546,S-06869,C. briggsae,ambient_humidity,70.5,0.13921566730939827
C-2554,S-06950,C. briggsae,ambient_humidity,62.1,0.13921566730939827
C-2604,S-06898,C. briggsae,ambient_humidity,70.5,0.13921566730939827
C-2609,S-06673,C. briggsae,ambient_humidity,78.1,0.13921566730939827
C-2616,S-06772,C. briggsae,ambient_humidity,83.4,0.13921566730939827
C-2669,S-06337,C. briggsae,ambient_humidity,59.6,0.13921566730939827
C-2677,S-07052,C. elegans,ambient_humidity,80,0.13921566730939827
C-2720,S-07049,C. briggsae,ambient_humidity,72.1,0.13921566730939827
C-2735,S-06437,C. briggsae,ambient_humidity,73.5,0.13921566730939827
C-2756,S-07100,C. briggsae,ambient_humidity,71.3,0.13921566730939827
C-2767,S-06173,C. briggsae,ambient_humidity,69.1,0.13921566730939827
C-2772,S-06280,C. briggsae,ambient_humidity,68.2,0.13921566730939827
C-2794,S-06294,C. briggsae,ambient_humidity,85.1,0.13921566730939827
C-2805,S-06224,C. elegans,ambient_humidity,82,0.13921566730939827
C-2824,S-07420,C. elegans,ambient_humidity,83.1,0.13921566730939827
C-2827,S-06105,C. tropicalis,ambient_humidity,68,0.13921566730939827
C-2828,S-07315,C. elegans,ambient_humidity,84.2,0.13921566730939827
C-2830,S-07273,C. elegans,ambient_humidity,81.3,0.13921566730939827
C-2836,S-07228,C. elegans,ambient_humidity,80.5,0.13921566730939827
C-2840,S-07355,C. elegans,ambient_humidity,82.7,0.13921566730939827
C-2845,S-06039,C. briggsae,ambient_humidity,66.4,0.13921566730939827
C-2849,S-06145,C. briggsae,ambient_humidity,64.4,0.13921566730939827
C-2850,S-06013,C. briggsae,ambient_humidity,67,0.13921566730939827
C-2856,S-07368,C. elegans,ambient_humidity,87.6,0.13921566730939827
C-2857,S-06153,C. briggsae,ambient_humidity,65.5,0.13921566730939827
C-2857,S-06168,C. tropicalis,ambient_humidity,65.5,0.13921566730939827
C-2861,S-06001,C. briggsae,ambient_humidity,66.1,0.13921566730939827
C-2865,S-07097,C. elegans,ambient_humidity,82.6,0.13921566730939827
C-2879,S-07384,C. elegans,ambient_humidity,84.2,0.13921566730939827
C-2880,S-07225,C. elegans,ambient_humidity,81.8,0.13921566730939827
C-2906,S-05993,C. tropicalis,ambient_humidity,69.3,0.13921566730939827
C-2909,S-06150,C. tropicalis,ambient_humidity,67.4,0.13921566730939827
C-2915,S-06192,C. tropicalis,ambient_humidity,84.7,0.13921566730939827
C-2916,S-06055,C. briggsae,ambient_humidity,69,0.13921566730939827
C-3007,S-06241,C. elegans,ambient_humidity,68,0.13921566730939827
C-3028,S-06285,C. briggsae,ambient_humidity,69.1,0.13921566730939827
C-3031,S-06022,C. briggsae,ambient_humidity,73.5,0.13921566730939827
C-3043,S-06307,C. briggsae,ambient_humidity,57.9,0.13921566730939827
C-3058,S-06322,C. elegans,ambient_humidity,94,0.13921566730939827
C-3085,S-06213,C. elegans,ambient_humidity,94,0.13921566730939827
C-3093,S-05969,C. briggsae,ambient_humidity,68.3,0.13921566730939827
C-3096,S-06245,C. briggsae,ambient_humidity,72,0.13921566730939827
C-3097,S-06054,C. elegans,ambient_humidity,94,0.13921566730939827
C-3114,S-06174,C. elegans,ambient_humidity,81.1,0.13921566730939827
C-3133,S-05962,C. elegans,ambient_humidity,75,0.13921566730939827
C-3143,S-07541,C. elegans,ambient_humidity,80.9,0.13921566730939827
C-3151,S-07530,C. elegans,ambient_humidity,81.9,0.13921566730939827
C-3155,S-07385,C. elegans,ambient_humidity,NA,0.13921566730939827
C-3160,S-06096,C. elegans,ambient_humidity,77.4,0.13921566730939827
C-3164,S-05967,C. elegans,ambient_humidity,75.9,0.13921566730939827
C-3178,S-06046,C. elegans,ambient_humidity,75.5,0.13921566730939827
C-3189,S-07266,C. elegans,ambient_humidity,85.7,0.13921566730939827
C-3197,S-07305,C. elegans,ambient_humidity,76.5,0.13921566730939827
C-3201,S-07378,C. elegans,ambient_humidity,78.2,0.13921566730939827
C-3205,S-07424,C. elegans,ambient_humidity,77.9,0.13921566730939827
C-3264,S-06386,C. elegans,ambient_humidity,75.5,0.13921566730939827
C-3266,S-06383,C. elegans,ambient_humidity,76.3,0.13921566730939827
C-3267,S-07204,C. briggsae,ambient_humidity,77,0.13921566730939827
C-3270,S-07107,C. elegans,ambient_humidity,85.6,0.13921566730939827
C-3294,S-06373,C. elegans,ambient_humidity,90.1,0.13921566730939827
C-3525,S-07255,C. briggsae,ambient_humidity,67.9,0.13921566730939827
C-3533,S-07350,C. oiwi,ambient_humidity,67.8,0.13921566730939827
C-0029,S-05113,C. oiwi,ambient_temperature,27,4.997890236525907e-14
C-0037,S-05095,C. oiwi,ambient_temperature,27.7,4.997890236525907e-14
C-0047,S-05103,C. oiwi,ambient_temperature,26.3,4.997890236525907e-14
C-0053,S-05061,C. oiwi,ambient_temperature,24.7,4.997890236525907e-14
C-0055,S-05075,C. oiwi,ambient_temperature,24.7,4.997890236525907e-14
C-0065,S-05082,C. oiwi,ambient_temperature,24,4.997890236525907e-14
C-0065,S-05096,C. briggsae,ambient_temperature,24,4.997890236525907e-14
C-0072,S-05046,C. oiwi,ambient_temperature,24.66666666666667,4.997890236525907e-14
C-0080,S-05074,C. tropicalis,ambient_temperature,26.72222222222222,4.997890236525907e-14
C-0084,S-05114,C. oiwi,ambient_temperature,22.9,4.997890236525907e-14
C-0085,S-05097,C. tropicalis,ambient_temperature,22.9,4.997890236525907e-14
C-0094,S-05047,C. briggsae,ambient_temperature,32.9,4.997890236525907e-14
C-0096,S-05049,C. briggsae,ambient_temperature,33.6,4.997890236525907e-14
C-0097,S-05035,C. briggsae,ambient_temperature,30.8,4.997890236525907e-14
C-0119,S-05171,C. briggsae,ambient_temperature,25.6,4.997890236525907e-14
C-0223,S-05274,C. briggsae,ambient_temperature,26.3,4.997890236525907e-14
C-0253,S-05580,C. briggsae,ambient_temperature,24.9,4.997890236525907e-14
C-0257,S-05637,C. oiwi,ambient_temperature,24.7,4.997890236525907e-14
C-0264,S-05581,C. briggsae,ambient_temperature,25.6,4.997890236525907e-14
C-0266,S-07467,C. briggsae,ambient_temperature,24.9,4.997890236525907e-14
C-0271,S-07483,C. briggsae,ambient_temperature,24.9,4.997890236525907e-14
C-0280,S-05575,C. briggsae,ambient_temperature,27.4,4.997890236525907e-14
C-0288,S-07481,C. briggsae,ambient_temperature,25.6,4.997890236525907e-14
C-0314,S-05944,C. briggsae,ambient_temperature,26.33333333333334,4.997890236525907e-14
C-0317,S-05937,C. briggsae,ambient_temperature,24.94444444444445,4.997890236525907e-14
C-0343,S-06610,C. briggsae,ambient_temperature,25.3,4.997890236525907e-14
C-0355,S-06521,C. briggsae,ambient_temperature,25.3,4.997890236525907e-14
C-0365,S-06558,C. elegans,ambient_temperature,17.1,4.997890236525907e-14
C-0376,S-06708,C. briggsae,ambient_temperature,24.3,4.997890236525907e-14
C-0380,S-06686,C. briggsae,ambient_temperature,24.3,4.997890236525907e-14
C-0380,S-06687,C. tropicalis,ambient_temperature,24.3,4.997890236525907e-14
C-0392,S-06770,C. briggsae,ambient_temperature,24.9,4.997890236525907e-14
C-0408,S-06719,C. briggsae,ambient_temperature,24.3,4.997890236525907e-14
C-0412,S-06751,C. briggsae,ambient_temperature,22.9,4.997890236525907e-14
C-0418,S-05793,C. briggsae,ambient_temperature,23.3,4.997890236525907e-14
C-0420,S-06715,C. tropicalis,ambient_temperature,24.9,4.997890236525907e-14
C-0421,S-05554,C. briggsae,ambient_temperature,24.3,4.997890236525907e-14
C-0433,S-05578,C. briggsae,ambient_temperature,24.9,4.997890236525907e-14
C-0442,S-05485,C. briggsae,ambient_temperature,24.3,4.997890236525907e-14
C-0666,S-05421,C. briggsae,ambient_temperature,26.05555555555556,4.997890236525907e-14
C-0736,S-06447,C. elegans,ambient_temperature,24.7,4.997890236525907e-14
C-0776,S-05566,C. briggsae,ambient_temperature,24.9,4.997890236525907e-14
C-0781,S-05631,C. briggsae,ambient_temperature,24.9,4.997890236525907e-14
C-0789,S-07468,C. briggsae,ambient_temperature,24.5,4.997890236525907e-14
C-0790,S-05647,C. briggsae,ambient_temperature,24.9,4.997890236525907e-14
C-0799,S-05512,C. briggsae,ambient_temperature,25.6,4.997890236525907e-14
C-0800,S-07503,C. briggsae,ambient_temperature,25.6,4.997890236525907e-14
C-0803,S-05197,C. oiwi,ambient_temperature,24.9,4.997890236525907e-14
C-0846,S-05666,C. briggsae,ambient_temperature,27.4,4.997890236525907e-14
C-0878,S-05949,C. briggsae,ambient_temperature,24.4,4.997890236525907e-14
C-0905,S-06580,C. briggsae,ambient_temperature,23.6,4.997890236525907e-14
C-0913,S-06734,C. briggsae,ambient_temperature,26.7,4.997890236525907e-14
C-0921,S-05784,C. briggsae,ambient_temperature,25.666666666666668,4.997890236525907e-14
C-0923,S-05918,C. tropicalis,ambient_temperature,24.277777777777782,4.997890236525907e-14
C-0929,S-05958,C. briggsae,ambient_temperature,28.388888888888886,4.997890236525907e-14
C-0935,S-05703,C. briggsae,ambient_temperature,28.388888888888886,4.997890236525907e-14
C-0949,S-05772,C. briggsae,ambient_temperature,29.777777777777775,4.997890236525907e-14
C-0957,S-05770,C. briggsae,ambient_temperature,31.166666666666664,4.997890236525907e-14
C-0958,S-05741,C. briggsae,ambient_temperature,25.666666666666668,4.997890236525907e-14
C-0964,S-05736,C. briggsae,ambient_temperature,25.666666666666668,4.997890236525907e-14
C-0982,S-05954,C. briggsae,ambient_temperature,26.5,4.997890236525907e-14
C-0989,S-05794,C. tropicalis,ambient_temperature,31.5,4.997890236525907e-14
C-1000,S-05787,C. briggsae,ambient_temperature,27.055555555555557,4.997890236525907e-14
C-1002,S-05765,C. briggsae,ambient_temperature,26,4.997890236525907e-14
C-1004,S-05763,C. briggsae,ambient_temperature,26.33333333333334,4.997890236525907e-14
C-1018,S-05927,C. briggsae,ambient_temperature,28.8,4.997890236525907e-14
C-1019,S-05947,C. briggsae,ambient_temperature,28.8,4.997890236525907e-14
C-1026,S-05620,C. briggsae,ambient_temperature,23.3,4.997890236525907e-14
C-1029,S-05556,C. briggsae,ambient_temperature,24.9,4.997890236525907e-14
C-1031,S-05540,C. briggsae,ambient_temperature,24.7,4.997890236525907e-14
C-1032,S-05670,C. briggsae,ambient_temperature,25.7,4.997890236525907e-14
C-1033,S-05576,C. briggsae,ambient_temperature,27.7,4.997890236525907e-14
C-1041,S-05190,C. briggsae,ambient_temperature,24,4.997890236525907e-14
C-1042,S-05203,C. briggsae,ambient_temperature,24,4.997890236525907e-14
C-1044,S-07474,C. briggsae,ambient_temperature,24,4.997890236525907e-14
C-1047,S-05530,C. briggsae,ambient_temperature,24.7,4.997890236525907e-14
C-1073,S-05234,C. briggsae,ambient_temperature,26,4.997890236525907e-14
C-1074,S-05661,C. briggsae,ambient_temperature,26,4.997890236525907e-14
C-1079,S-05213,C. oiwi,ambient_temperature,25.3,4.997890236525907e-14
C-1083,S-05799,C. tropicalis,ambient_temperature,25.3,4.997890236525907e-14
C-1089,S-05709,C. briggsae,ambient_temperature,26.7,4.997890236525907e-14
C-1121,S-05732,C. briggsae,ambient_temperature,25.666666666666668,4.997890236525907e-14
C-1142,S-06560,C. elegans,ambient_temperature,19.2,4.997890236525907e-14
C-1175,S-05886,C. elegans,ambient_temperature,21.9,4.997890236525907e-14
C-1185,S-06607,C. briggsae,ambient_temperature,23.6,4.997890236525907e-14
C-1218,S-06745,C. briggsae,ambient_temperature,27,4.997890236525907e-14
C-1245,S-06621,C. tropicalis,ambient_temperature,27.7,4.997890236525907e-14
C-1329,S-06571,C. elegans,ambient_temperature,18.5,4.997890236525907e-14
C-1369,S-06654,C. briggsae,ambient_temperature,17.1,4.997890236525907e-14
C-1371,S-06647,C. briggsae,ambient_temperature,28.4,4.997890236525907e-14
C-1402,S-06897,C. briggsae,ambient_temperature,27.4,4.997890236525907e-14
C-1480,S-06857,C. elegans,ambient_temperature,24.9,4.997890236525907e-14
C-1489,S-06823,C. elegans,ambient_temperature,22.9,4.997890236525907e-14
C-1513,S-06906,C. briggsae,ambient_temperature,27,4.997890236525907e-14
C-2527,S-06740,C. briggsae,ambient_temperature,25.6,4.997890236525907e-14
C-2530,S-06892,C. briggsae,ambient_temperature,28.4,4.997890236525907e-14
C-2546,S-06869,C. briggsae,ambient_temperature,27,4.997890236525907e-14
C-2554,S-06950,C. briggsae,ambient_temperature,28.4,4.997890236525907e-14
C-2604,S-06898,C. briggsae,ambient_temperature,26.7,4.997890236525907e-14
C-2609,S-06673,C. briggsae,ambient_temperature,26.3,4.997890236525907e-14
C-2616,S-06772,C. briggsae,ambient_temperature,24.9,4.997890236525907e-14
C-2669,S-06337,C. briggsae,ambient_temperature,28.055555555555557,4.997890236525907e-14
C-2677,S-07052,C. elegans,ambient_temperature,23.333333333333336,4.997890236525907e-14
C-2720,S-07049,C. briggsae,ambient_temperature,24.66666666666667,4.997890236525907e-14
C-2735,S-06437,C. briggsae,ambient_temperature,24.66666666666667,4.997890236525907e-14
C-2756,S-07100,C. briggsae,ambient_temperature,24.66666666666667,4.997890236525907e-14
C-2767,S-06173,C. briggsae,ambient_temperature,26,4.997890236525907e-14
C-2772,S-06280,C. briggsae,ambient_temperature,27.4,4.997890236525907e-14
C-2794,S-06294,C. briggsae,ambient_temperature,23.3,4.997890236525907e-14
C-2805,S-06224,C. elegans,ambient_temperature,20.5,4.997890236525907e-14
C-2824,S-07420,C. elegans,ambient_temperature,22.6,4.997890236525907e-14
C-2827,S-06105,C. tropicalis,ambient_temperature,23.7,4.997890236525907e-14
C-2828,S-07315,C. elegans,ambient_temperature,22.6,4.997890236525907e-14
C-2830,S-07273,C. elegans,ambient_temperature,22.6,4.997890236525907e-14
C-2836,S-07228,C. elegans,ambient_temperature,22.6,4.997890236525907e-14
C-2840,S-07355,C. elegans,ambient_temperature,22.6,4.997890236525907e-14
C-2845,S-06039,C. briggsae,ambient_temperature,28.1,4.997890236525907e-14
C-2849,S-06145,C. briggsae,ambient_temperature,28.1,4.997890236525907e-14
C-2850,S-06013,C. briggsae,ambient_temperature,30.8,4.997890236525907e-14
C-2856,S-07368,C. elegans,ambient_temperature,21.9,4.997890236525907e-14
C-2857,S-06153,C. briggsae,ambient_temperature,28.8,4.997890236525907e-14
C-2857,S-06168,C. tropicalis,ambient_temperature,28.8,4.997890236525907e-14
C-2861,S-06001,C. briggsae,ambient_temperature,28.8,4.997890236525907e-14
C-2865,S-07097,C. elegans,ambient_temperature,21.9,4.997890236525907e-14
C-2879,S-07384,C. elegans,ambient_temperature,22.6,4.997890236525907e-14
C-2880,S-07225,C. elegans,ambient_temperature,22.6,4.997890236525907e-14
C-2906,S-05993,C. tropicalis,ambient_temperature,28.1,4.997890236525907e-14
C-2909,S-06150,C. tropicalis,ambient_temperature,27.4,4.997890236525907e-14
C-2915,S-06192,C. tropicalis,ambient_temperature,23.3,4.997890236525907e-14
C-2916,S-06055,C. briggsae,ambient_temperature,26,4.997890236525907e-14
C-3007,S-06241,C. elegans,ambient_temperature,23.3,4.997890236525907e-14
C-3028,S-06285,C. briggsae,ambient_temperature,26,4.997890236525907e-14
C-3031,S-06022,C. briggsae,ambient_temperature,26,4.997890236525907e-14
C-3043,S-06307,C. briggsae,ambient_temperature,27.4,4.997890236525907e-14
C-3058,S-06322,C. elegans,ambient_temperature,18.4,4.997890236525907e-14
C-3085,S-06213,C. elegans,ambient_temperature,18.5,4.997890236525907e-14
C-3093,S-05969,C. briggsae,ambient_temperature,26.7,4.997890236525907e-14
C-3096,S-06245,C. briggsae,ambient_temperature,23.333333333333336,4.997890236525907e-14
C-3097,S-06054,C. elegans,ambient_temperature,18.5,4.997890236525907e-14
C-3114,S-06174,C. elegans,ambient_temperature,22.6,4.997890236525907e-14
C-3133,S-05962,C. elegans,ambient_temperature,23.3,4.997890236525907e-14
C-3143,S-07541,C. elegans,ambient_temperature,22.6,4.997890236525907e-14
C-3151,S-07530,C. elegans,ambient_temperature,22.6,4.997890236525907e-14
C-3155,S-07385,C. elegans,ambient_temperature,NA,4.997890236525907e-14
C-3160,S-06096,C. elegans,ambient_temperature,23.3,4.997890236525907e-14
C-3164,S-05967,C. elegans,ambient_temperature,23.3,4.997890236525907e-14
C-3178,S-06046,C. elegans,ambient_temperature,21.9,4.997890236525907e-14
C-3189,S-07266,C. elegans,ambient_temperature,21.9,4.997890236525907e-14
C-3197,S-07305,C. elegans,ambient_temperature,23.3,4.997890236525907e-14
C-3201,S-07378,C. elegans,ambient_temperature,24,4.997890236525907e-14
C-3205,S-07424,C. elegans,ambient_temperature,23.3,4.997890236525907e-14
C-3264,S-06386,C. elegans,ambient_temperature,26,4.997890236525907e-14
C-3266,S-06383,C. elegans,ambient_temperature,25.388888888888893,4.997890236525907e-14
C-3267,S-07204,C. briggsae,ambient_temperature,24.7,4.997890236525907e-14
C-3270,S-07107,C. elegans,ambient_temperature,23.333333333333336,4.997890236525907e-14
C-3294,S-06373,C. elegans,ambient_temperature,19.9,4.997890236525907e-14
C-3525,S-07255,C. briggsae,ambient_temperature,27.4,4.997890236525907e-14
C-3533,S-07350,C. oiwi,ambient_temperature,27.4,4.997890236525907e-14
C-0029,S-05113,C. oiwi,altitude,98.8828125,7.789348573390319e-16
C-0037,S-05095,C. oiwi,altitude,87.86738351,7.789348573390319e-16
C-0047,S-05103,C. oiwi,altitude,99.87410072,7.789348573390319e-16
C-0053,S-05061,C. oiwi,altitude,313.2915767,7.789348573390319e-16
C-0055,S-05075,C. oiwi,altitude,311.9666269,7.789348573390319e-16
C-0065,S-05082,C. oiwi,altitude,322.8517588,7.789348573390319e-16
C-0065,S-05096,C. briggsae,altitude,322.8517588,7.789348573390319e-16
C-0072,S-05046,C. oiwi,altitude,317.37751,7.789348573390319e-16
C-0080,S-05074,C. tropicalis,altitude,238.1053391,7.789348573390319e-16
C-0084,S-05114,C. oiwi,altitude,168.5283019,7.789348573390319e-16
C-0085,S-05097,C. tropicalis,altitude,169.8389831,7.789348573390319e-16
C-0094,S-05047,C. briggsae,altitude,26.74621653,7.789348573390319e-16
C-0096,S-05049,C. briggsae,altitude,31.55212355,7.789348573390319e-16
C-0097,S-05035,C. briggsae,altitude,20.31085044,7.789348573390319e-16
C-0119,S-05171,C. briggsae,altitude,174.2420635,7.789348573390319e-16
C-0223,S-05274,C. briggsae,altitude,64.78546713,7.789348573390319e-16
C-0253,S-05580,C. briggsae,altitude,241.0691824,7.789348573390319e-16
C-0257,S-05637,C. oiwi,altitude,168.2667068,7.789348573390319e-16
C-0264,S-05581,C. briggsae,altitude,281.4824121,7.789348573390319e-16
C-0266,S-07467,C. briggsae,altitude,281.4052288,7.789348573390319e-16
C-0271,S-07483,C. briggsae,altitude,281.0586957,7.789348573390319e-16
C-0280,S-05575,C. briggsae,altitude,161.2611684,7.789348573390319e-16
C-0288,S-07481,C. briggsae,altitude,287.6963907,7.789348573390319e-16
C-0314,S-05944,C. briggsae,altitude,108.8898551,7.789348573390319e-16
C-0317,S-05937,C. briggsae,altitude,23.86257928,7.789348573390319e-16
C-0343,S-06610,C. briggsae,altitude,439.7731959,7.789348573390319e-16
C-0355,S-06521,C. briggsae,altitude,439.6501129,7.789348573390319e-16
C-0365,S-06558,C. elegans,altitude,1746.755319,7.789348573390319e-16
C-0376,S-06708,C. briggsae,altitude,295,7.789348573390319e-16
C-0380,S-06686,C. briggsae,altitude,291,7.789348573390319e-16
C-0380,S-06687,C. tropicalis,altitude,291,7.789348573390319e-16
C-0392,S-06770,C. briggsae,altitude,291,7.789348573390319e-16
C-0408,S-06719,C. briggsae,altitude,335,7.789348573390319e-16
C-0412,S-06751,C. briggsae,altitude,366,7.789348573390319e-16
C-0418,S-05793,C. briggsae,altitude,1165.131455,7.789348573390319e-16
C-0420,S-06715,C. tropicalis,altitude,389,7.789348573390319e-16
C-0421,S-05554,C. briggsae,altitude,301.0834512,7.789348573390319e-16
C-0433,S-05578,C. briggsae,altitude,344.4559271,7.789348573390319e-16
C-0442,S-05485,C. briggsae,altitude,294.7715232,7.789348573390319e-16
C-0666,S-05421,C. briggsae,altitude,1206.162162,7.789348573390319e-16
C-0736,S-06447,C. elegans,altitude,669,7.789348573390319e-16
C-0776,S-05566,C. briggsae,altitude,277.3657143,7.789348573390319e-16
C-0781,S-05631,C. briggsae,altitude,272.6848485,7.789348573390319e-16
C-0789,S-07468,C. briggsae,altitude,332.9986505,7.789348573390319e-16
C-0790,S-05647,C. briggsae,altitude,439.6529412,7.789348573390319e-16
C-0799,S-05512,C. briggsae,altitude,415.2389937,7.789348573390319e-16
C-0800,S-07503,C. briggsae,altitude,387.461039,7.789348573390319e-16
C-0803,S-05197,C. oiwi,altitude,181.7934272,7.789348573390319e-16
C-0846,S-05666,C. briggsae,altitude,201.2539062,7.789348573390319e-16
C-0878,S-05949,C. briggsae,altitude,40.05298651,7.789348573390319e-16
C-0905,S-06580,C. briggsae,altitude,388,7.789348573390319e-16
C-0913,S-06734,C. briggsae,altitude,86,7.789348573390319e-16
C-0921,S-05784,C. briggsae,altitude,198.68,7.789348573390319e-16
C-0923,S-05918,C. tropicalis,altitude,195.2614379,7.789348573390319e-16
C-0929,S-05958,C. briggsae,altitude,208.3816425,7.789348573390319e-16
C-0935,S-05703,C. briggsae,altitude,209.9708738,7.789348573390319e-16
C-0949,S-05772,C. briggsae,altitude,208.7173913,7.789348573390319e-16
C-0957,S-05770,C. briggsae,altitude,225.4597156,7.789348573390319e-16
C-0958,S-05741,C. briggsae,altitude,198.9180328,7.789348573390319e-16
C-0964,S-05736,C. briggsae,altitude,201.8410853,7.789348573390319e-16
C-0982,S-05954,C. briggsae,altitude,191.8259494,7.789348573390319e-16
C-0989,S-05794,C. tropicalis,altitude,94,7.789348573390319e-16
C-1000,S-05787,C. briggsae,altitude,200.0536585,7.789348573390319e-16
C-1002,S-05765,C. briggsae,altitude,189.630137,7.789348573390319e-16
C-1004,S-05763,C. briggsae,altitude,200.3820225,7.789348573390319e-16
C-1018,S-05927,C. briggsae,altitude,195.5997625,7.789348573390319e-16
C-1019,S-05947,C. briggsae,altitude,179.2134831,7.789348573390319e-16
C-1026,S-05620,C. briggsae,altitude,306.6197183,7.789348573390319e-16
C-1029,S-05556,C. briggsae,altitude,445.1217949,7.789348573390319e-16
C-1031,S-05540,C. briggsae,altitude,308.7732919,7.789348573390319e-16
C-1032,S-05670,C. briggsae,altitude,430.0989011,7.789348573390319e-16
C-1033,S-05576,C. briggsae,altitude,393.3017241,7.789348573390319e-16
C-1041,S-05190,C. briggsae,altitude,264.666975,7.789348573390319e-16
C-1042,S-05203,C. briggsae,altitude,278.7701149,7.789348573390319e-16
C-1044,S-07474,C. briggsae,altitude,266.1755319,7.789348573390319e-16
C-1047,S-05530,C. briggsae,altitude,260.9348659,7.789348573390319e-16
C-1073,S-05234,C. briggsae,altitude,219,7.789348573390319e-16
C-1074,S-05661,C. briggsae,altitude,209.9795918,7.789348573390319e-16
C-1079,S-05213,C. oiwi,altitude,166.6885965,7.789348573390319e-16
C-1083,S-05799,C. tropicalis,altitude,215.9588235,7.789348573390319e-16
C-1089,S-05709,C. briggsae,altitude,193.4864865,7.789348573390319e-16
C-1121,S-05732,C. briggsae,altitude,198.4620253,7.789348573390319e-16
C-1142,S-06560,C. elegans,altitude,1778.986667,7.789348573390319e-16
C-1175,S-05886,C. elegans,altitude,1163.896104,7.789348573390319e-16
C-1185,S-06607,C. briggsae,altitude,458,7.789348573390319e-16
C-1218,S-06745,C. briggsae,altitude,92,7.789348573390319e-16
C-1245,S-06621,C. tropicalis,altitude,92,7.789348573390319e-16
C-1329,S-06571,C. elegans,altitude,1724.617647,7.789348573390319e-16
C-1369,S-06654,C. briggsae,altitude,1670.086207,7.789348573390319e-16
