isotype,max_pop_frac,pop_assignment,A,B,C,D,E,F,G,H,I,K,Hawaiian,latitude,longitude,isolation_date,start_date,end_date,nearest_station,station_distance,station_lat,station_lon,mean.temp,sd.temp
CB4858,0.9999,C,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB4932,0.604814,B,1.9e-5,0.604814,1e-5,1e-5,1e-5,1e-5,1e-5,1.1e-5,0.395086,1e-5,FALSE,51.02,-3.1,1991-01-01,1990-07-05,1991-06-30,995210-99999,423.152749808854,53.1,2.2,10.0869448356084,4.53965339895648
CX11254,0.656296,C,1e-5,1e-5,0.656296,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.106087,FALSE,34.130138,-118.114835,2003-09-01,2003-03-05,2004-02-28,747043-99999,8.84484564697119,34.08,-118.03,19.4385964912281,4.92794078595345
CX11262,0.9999,C,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,34.130138,-118.114835,2003-09-01,2003-03-05,2004-02-28,747043-99999,8.84484564697119,34.08,-118.03,19.4385964912281,4.92794078595345
CX11264,0.9999,C,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,34.130138,-118.114835,2003-09-01,2003-03-05,2004-02-28,747043-99999,8.84484564697119,34.08,-118.03,19.4385964912281,4.92794078595345
CX11271,0.441877,J,1e-5,1e-5,0.271679,0.286364,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,34.13712,-118.12532,2003-09-01,2003-03-05,2004-02-28,747043-99999,10.079555397594,34.08,-118.03,19.4385964912281,4.92794078595345
CX11276,0.591298,C,1e-5,0.015529,0.591298,0.185454,1e-5,1e-5,1e-5,1e-5,0.009696,1e-5,FALSE,34.20111,-118.21198,2003-09-01,2003-03-05,2004-02-28,722880-23152,13.4581654093146,34.201,-118.357,12.200809437737,2.04963502436832
CX11285,0.662305,C,1.1e-5,1e-5,0.662305,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,34.14331,-118.05496,2003-09-01,2003-03-05,2004-02-28,747043-99999,6.6184339110201,34.08,-118.03,19.4385964912281,4.92794078595345
CX11292,0.727048,C,1e-5,1e-5,0.727048,0.272862,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,34.13531,-118.30582,2004-02-01,2003-08-05,2004-07-30,722880-23152,8.73170799874153,34.201,-118.357,17.40571131407,4.82240580672677
CX11307,0.59957,C,1e-5,1e-5,0.59957,0.183651,1e-5,1e-5,0.038083,1e-5,0.070271,0.050666,FALSE,34.12946,-118.10987,2013-09-03,2013-03-07,2014-03-02,747043-3165,8.76734452318245,34.083,-118.033,21.3232678524922,4.56487864561559
CX11314,0.9999,C,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,34.12946,-118.10987,2003-09-01,2003-03-05,2004-02-28,747043-99999,8.4238793955801,34.08,-118.03,19.4385964912281,4.92794078595345
CX11315,0.855784,C,1e-5,1e-5,0.855784,0.144126,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,34.12946,-118.10987,2013-09-03,2013-03-07,2014-03-02,747043-3165,8.76734452318245,34.083,-118.033,21.3232678524922,4.56487864561559
DL200,0.736236,I,1e-5,1e-5,1e-5,0.174635,1e-5,1e-5,1e-5,1e-5,0.736236,0.062074,FALSE,9.03,38.74,2007-12-01,2007-06-04,2008-05-29,634500-99999,8.66972756367877,9.033,38.75,17.2037457877924,2.0998577366195
DL226,0.722598,C,1e-5,0.054011,0.722598,0.137152,1e-5,1e-5,1e-5,2e-5,1e-5,0.015908,FALSE,44.5633,-123.2821,2008-01-01,2007-07-05,2008-06-29,726945-24202,7.03442598524573,44.483,-123.283,10.788994440513,6.42198631886255
DL238,0.999898,A,0.999898,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1.2e-5,1e-5,TRUE,19.11,-155.81,2008-07-15,2008-01-17,2009-01-11,999999-21514,53.0847735424682,19.535,-155.576,6.50306668590864,2.61363057267061
ECA189,0.842304,E,1e-5,1e-5,0.157606,1e-5,0.842304,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,19.423889,-155.2225,2014-07-09,2014-01-10,2015-01-05,999999-21515,28.5211669503849,19.645,-155.083,21.4590423091939,1.3439630596557
ECA191,0.9999,H,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,TRUE,19.424167,-155.221944,2014-07-09,2014-01-10,2015-01-05,999999-21515,28.4648172263879,19.645,-155.083,21.4590423091939,1.3439630596557
ECA252,0.9999,B,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,34.1,-118.1,1973-06-01,1972-12-03,1973-11-28,722970-23129,32.2271352883243,33.817,-118.15,16.8055500466485,3.99136817834084
ECA347,0.9999,F,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,TRUE,19.438889,-155.303611,2016-02-07,2015-08-11,2016-08-05,999999-21514,30.5110005082429,19.535,-155.576,8.41792685374824,1.6380203845953
ECA348,0.9999,C,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,37.775334,-122.253889,2015-12-30,2015-07-03,2016-06-27,724930-23230,6.6910495828873,37.721,-122.22,15.3491245363365,3.61652742838532
ECA349,0.9999,C,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,32.765758,-117.236741,2016-02-09,2015-08-13,2016-08-07,722900-23188,6.1456865471213,32.734,-117.183,18.965317633037,3.69272279075763
ECA36,0.999888,F,1.3e-5,1.9e-5,1e-5,1e-5,1e-5,0.999888,1e-5,1e-5,1e-5,1e-5,FALSE,-36.893333,174.745529,2013-07-27,2013-01-28,2014-01-23,931100-99999,12.7933099443429,-37,174.8,15.6432934309458,3.35169397555402
ECA363,0.9999,F,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,TRUE,20.723611,-156.304444,2016-02-19,2015-08-23,2016-08-17,911900-22516,23.4414203142849,20.9,-156.428,24.6966727883329,1.95423532650122
ECA369,0.9999,A,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,21.175556,-157.006389,2016-02-20,2015-08-24,2016-08-18,911860-22534,9.58084831548934,21.155,-157.096,24.0672325500395,1.81115453248833
ECA372,0.766152,E,1.8e-5,1e-5,0.232283,1e-5,0.766152,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,22.121667,-159.664444,2016-02-27,2015-08-31,2016-08-25,911620-22501,15.6878804165303,22.033,-159.783,25.2364478792736,1.7342041437763
ECA396,0.9999,H,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,TRUE,19.449831,-155.235493,2016-05-17,2015-11-19,2016-11-13,999999-21515,26.8862711667593,19.645,-155.083,21.4680723978023,1.24284985876481
ECA701,0.58748,F,0.250814,1e-5,1e-5,1e-5,1e-5,0.58748,1e-5,0.161626,1e-5,1e-5,TRUE,22.123283,-159.656428,2017-08-11,2017-02-12,2018-02-07,911620-22501,16.4494093160561,22.033,-159.783,25.8508674904214,5.90152713928574
ECA703,0.9999,A,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,20.038831,-155.438922,2017-08-13,2017-02-14,2018-02-09,911977-21508,33.136171666664,19.76,-155.554,14.4286826521334,2.25675560005142
ECA705,0.9999,E,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,20.038831,-155.438922,2017-08-13,2017-02-14,2018-02-09,911977-21508,33.136171666664,19.76,-155.554,14.4286826521334,2.25675560005142
ECA706,0.856741,A,0.856741,1e-5,1e-5,1e-5,0.143163,1e-5,1e-5,1.6e-5,1e-5,1e-5,TRUE,20.038831,-155.438922,2017-08-13,2017-02-14,2018-02-09,911977-21508,33.136171666664,19.76,-155.554,14.4286826521334,2.25675560005142
ECA710,0.928485,E,1e-5,1e-5,0.071425,1e-5,0.928485,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,20.039656,-155.438103,2017-08-13,2017-02-14,2018-02-09,911977-21508,33.2524584231708,19.76,-155.554,14.4286826521334,2.25675560005142
ECA712,0.9999,E,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,19.423864,-155.222478,2017-08-14,2017-02-15,2018-02-10,999999-21515,28.522357483543,19.645,-155.083,21.4022862685093,1.48933532183186
ECA722,0.9999,H,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,TRUE,19.423975,-155.222625,2017-08-14,2017-02-15,2018-02-10,999999-21515,28.5197338610523,19.645,-155.083,21.4022862685093,1.48933532183186
ECA723,0.999884,H,1.3e-5,1.6e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.999884,1.7e-5,1e-5,TRUE,19.424272,-155.221661,2017-08-14,2017-02-15,2018-02-10,999999-21515,28.4396237153709,19.645,-155.083,21.4022862685093,1.48933532183186
ECA724,0.991476,F,1e-5,1e-5,0.008431,1e-5,1e-5,0.991476,1.3e-5,1e-5,1e-5,1e-5,TRUE,19.439144,-155.303825,2017-08-14,2017-02-15,2018-02-10,999999-21514,30.480086114088,19.535,-155.576,7.44656494413183,2.60911480922506
ECA730,0.9999,H,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,TRUE,19.423869,-155.222483,2017-08-14,2017-02-15,2018-02-10,999999-21515,28.5221516639686,19.645,-155.083,21.4022862685093,1.48933532183186
ECA732,0.9999,A,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,19.115403,-155.81845,2017-08-15,2017-02-16,2018-02-11,999999-21514,52.9765616217729,19.535,-155.576,7.43929539965661,2.61054984439227
ECA733,0.9999,A,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,19.115886,-155.818386,2017-08-15,2017-02-16,2018-02-11,999999-21514,52.9264370384421,19.535,-155.576,7.43929539965661,2.61054984439227
ECA738,0.720652,E,1e-5,1e-5,0.279258,1e-5,0.720652,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,21.13927631,-156.9740559,2017-08-12,2017-02-13,2018-02-08,911860-22534,12.7851907753177,21.155,-157.096,24.3739910758264,2.03375936985977
ECA740,0.999895,F,1e-5,1e-5,1e-5,1e-5,1e-5,0.999895,1e-5,1e-5,1.5e-5,1e-5,TRUE,20.670022,-156.339189,2017-08-14,2017-02-15,2018-02-10,911900-22516,27.124642175653,20.9,-156.428,24.6234827995406,1.96942023524896
ECA741,0.999898,F,1e-5,1e-5,1e-5,1e-5,1e-5,0.999898,1e-5,1.2e-5,1e-5,1e-5,TRUE,20.6762,-156.338322,2017-08-14,2017-02-15,2018-02-10,911900-22516,26.515577452759,20.9,-156.428,24.6234827995406,1.96942023524896
ECA742,0.999881,F,1e-5,1.2e-5,1e-5,1e-5,1.3e-5,0.999881,1e-5,1.6e-5,1e-5,1e-5,TRUE,20.80569,-156.2781,2017-08-16,2017-02-17,2018-02-12,911900-22516,18.8588379658789,20.899,-156.43,24.6038286575326,1.99059625215417
ECA743,0.84473,E,1e-5,0.044726,0.025694,0.052205,0.84473,1e-5,1e-5,1e-5,0.032585,1e-5,TRUE,20.741871,-156.32317,2017-08-16,2017-02-17,2018-02-12,911900-22516,20.6847788903935,20.899,-156.43,24.6038286575326,1.99059625215417
ECA744,0.9999,H,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,TRUE,19.719231,-155.949572,2017-08-15,2017-02-16,2018-02-11,911975-21510,10.5866535187862,19.736,-156.048,25.6339012744597,1.47954844269288
ECA745,0.999898,H,1e-5,1e-5,1e-5,1.2e-5,1e-5,1e-5,1e-5,0.999898,1e-5,1e-5,TRUE,19.700464,-155.955839,2017-08-15,2017-02-16,2018-02-11,911975-21510,10.5287719953135,19.736,-156.048,25.6339012744597,1.47954844269288
ECA746,0.9999,H,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,TRUE,19.115292,-155.819336,2017-08-15,2017-02-16,2018-02-11,999999-21514,53.0321697758918,19.535,-155.576,7.43929539965661,2.61054984439227
ECA760,0.9999,E,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,20.039869,-155.441619,2017-08-17,2017-02-18,2018-02-13,911977-21508,33.1419032492745,19.76,-155.554,14.3584495960429,2.3066958855046
ECA768,0.999899,E,1e-5,1e-5,1e-5,1.1e-5,0.999899,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,20.039914,-155.441556,2017-08-17,2017-02-18,2018-02-13,911977-21508,33.1489024259487,19.76,-155.554,14.3584495960429,2.3066958855046
ECA777,0.999896,E,1e-5,1e-5,1e-5,1e-5,0.999896,1e-5,1e-5,1e-5,1.4e-5,1e-5,TRUE,20.039908,-155.441503,2017-08-17,2017-02-18,2018-02-13,911977-21508,33.1502532902558,19.76,-155.554,14.3584495960429,2.3066958855046
ECA778,0.999896,E,1e-5,1e-5,1e-5,1e-5,0.999896,1e-5,1e-5,1e-5,1.4e-5,1e-5,TRUE,20.039908,-155.441503,2017-08-17,2017-02-18,2018-02-13,911977-21508,33.1502532902558,19.76,-155.554,14.3584495960429,2.3066958855046
ECA807,0.9999,E,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,20.039869,-155.441531,2017-08-17,2017-02-18,2018-02-13,911977-21508,33.1451762575246,19.76,-155.554,14.3584495960429,2.3066958855046
ECA812,0.999899,E,1e-5,1e-5,1e-5,1e-5,0.999899,1e-5,1e-5,1.1e-5,1e-5,1e-5,TRUE,20.039917,-155.441542,2017-08-17,2017-02-18,2018-02-13,911977-21508,33.1497335774101,19.76,-155.554,14.3584495960429,2.3066958855046
ED3005,0.677598,K,1e-5,1e-5,0.262562,0.05976,1e-5,1e-5,1e-5,1e-5,1e-5,0.677598,FALSE,55.94,-3.36,2004-10-25,2004-04-28,2005-04-23,104040-99999,786.456416558698,51.75,6.283,10.3501822911572,6.55986781142839
ED3011,0.335005,C,1e-5,1e-5,0.335005,0.242701,1e-5,1e-5,1e-5,1e-5,1e-5,0.286286,FALSE,55.92,-3.19,2004-11-11,2004-05-15,2005-05-10,104040-99999,776.301354342611,51.75,6.283,10.3498863600311,6.58098869982636
ED3012,0.72135,B,1e-5,0.72135,1e-5,0.27856,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,55.92,-3.19,2004-11-26,2004-05-30,2005-05-25,104040-99999,776.301354342611,51.75,6.283,10.33135592805,6.58709648848289
ED3017,0.540785,D,1e-5,1e-5,1e-5,0.540785,1e-5,1e-5,1e-5,1e-5,0.459125,1e-5,FALSE,55.92,-3.19,2004-12-03,2004-06-06,2005-06-01,104040-99999,776.301354342611,51.75,6.283,10.3852684138034,6.66952990410484
ED3040,0.721979,J,1e-5,1e-5,1e-5,0.277931,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,-26.166667,28.016667,2006-05-05,2005-11-06,2006-11-01,682672-99999,2.48730295630543,-26.15,28,14.614762117872,4.49662791565334
ED3046,0.494246,J,1e-5,1e-5,1e-5,0.352974,1e-5,1e-5,1e-5,1e-5,0.1527,1e-5,FALSE,-33.366667,19.316667,2006-05-05,2005-11-06,2006-11-01,688210-99999,31.0819358380812,-33.617,19.467,17.3322945521699,5.05119148085574
ED3048,0.679556,D,1.4e-5,1.7e-5,1e-5,0.679556,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,-33.366667,19.316667,2006-04-02,2005-10-04,2006-09-29,688210-99999,31.0819358380812,-33.617,19.467,17.336241920591,5.05476863576019
ED3049,0.502642,J,1e-5,1e-5,1e-5,0.348489,1e-5,1e-5,1e-5,1e-5,0.148789,1e-5,FALSE,-33.366667,19.316667,2006-04-02,2005-10-04,2006-09-29,688210-99999,31.0819358380812,-33.617,19.467,17.336241920591,5.05476863576019
ED3052,0.74927,J,1e-5,1e-5,1e-5,0.25064,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,-33.366667,19.316667,2006-05-05,2005-11-06,2006-11-01,688210-99999,31.0819358380812,-33.617,19.467,17.3322945521699,5.05119148085574
ED3073,0.934359,D,1e-5,1e-5,1e-5,0.934359,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,-1.083333,36.65,2006-05-17,2005-11-18,2006-11-13,637400-99999,40.4518041599832,-1.317,36.917,19.3304363063156,1.59859428922317
ED3077,0.75534,D,1e-5,1e-5,1e-5,0.75534,1e-5,1e-5,0.002367,1e-5,0.034257,1e-5,FALSE,-1.316667,36.8,2006-05-17,2005-11-18,2006-11-13,637400-99999,14.2474868577919,-1.317,36.917,19.3304363063156,1.59859428922317
EG4347,0.675313,D,1e-5,0.261096,0.063511,0.675313,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,44.04789,-123.07108,2006-10-09,2006-04-12,2007-04-07,726930-24221,14.9464188519285,44.133,-123.214,11.0445681780408,6.46927695687192
EG4349,0.569544,K,1e-5,1e-5,1e-5,0.222824,1e-5,1e-5,0.014195,1e-5,0.193368,0.569544,FALSE,40.771467,-111.87316,2006-10-02,2006-04-05,2007-03-31,725720-24127,8.12336749073853,40.787,-111.968,11.8203134642198,11.2732147325458
EG4724,0.64855,J,1e-5,0.020153,1e-5,0.20714,1e-5,1e-5,1e-5,1e-5,0.124086,1e-5,FALSE,41.6288,-8.3476,2007-03-28,2006-09-29,2007-09-24,601010-99999,688.364608564611,35.733,-5.9,18.0386609513897,4.99759820345611
EG4725,0.593241,J,1e-5,1e-5,1e-5,0.124487,1e-5,1e-5,0.282191,1e-5,1e-5,1e-5,FALSE,41.6288,-8.3476,2007-03-28,2006-09-29,2007-09-24,601010-99999,688.364608564611,35.733,-5.9,18.0386609513897,4.99759820345611
EG4946,0.569549,D,1e-5,0.024101,0.406269,0.569549,1e-5,1e-5,1e-5,1.1e-5,1e-5,1e-5,FALSE,40.72596,-111.82184,2007-09-27,2007-03-31,2008-03-25,725720-24127,13.7055715575985,40.787,-111.968,12.0723999245363,11.7290263317808
GXW1,0.909434,D,1e-5,1e-5,1e-5,0.909434,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,30.542889,114.419828,2010-11-05,2010-05-09,2011-05-04,574940-99999,33.5656641785306,30.6,114.05,17.0089733408829,9.54503445688711
JT11398,0.690335,D,1e-5,0.160151,1e-5,0.690335,1e-5,1e-5,1e-5,1e-5,0.110807,1e-5,FALSE,47.763944,-122.275484,2003-12-01,2003-06-04,2004-05-29,727937-99999,15.1381274783418,47.9,-122.283,10.8462473946656,5.41877742863802
JU1088,0.78102,D,1e-5,1e-5,1e-5,0.78102,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,34.7613,138.0149,2007-03-14,2006-09-15,2007-09-10,476550-99999,25.7527459452944,34.6,138.217,16.9495333344376,6.57787338131322
JU1172,0.765549,C,1e-5,1e-5,0.765549,0.234361,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,-36.87,-73.04,2007-04-01,2006-10-03,2007-09-28,856820-99999,10.9583527745891,-36.767,-73.067,12.063180060341,3.7266439296317
JU1200,0.682998,B,1e-5,0.682998,1e-5,0.316912,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,55.577,-4.6,2007-08-01,2007-02-02,2008-01-28,NA,NA,NA,NA,NA,NA
JU1212,0.725328,B,0.08567,0.725328,1e-5,1e-5,1.1e-5,1e-5,1e-5,1e-5,0.188922,1e-5,FALSE,48.71,-3.81,2007-09-24,2007-03-28,2008-03-22,NA,NA,NA,NA,NA,NA
JU1213,0.9999,I,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,FALSE,48.71,-3.81,2007-09-24,2007-03-28,2008-03-22,NA,NA,NA,NA,NA,NA
JU1242,0.9999,I,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,FALSE,49.1269,1.9595,2007-10-14,2007-04-17,2008-04-11,106070-99999,355.150966843407,49.983,6.7,9.16760917946604,6.52039228129181
JU1246,0.749686,I,1e-5,0.250224,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.749686,1e-5,FALSE,49.12618,1.96152,2007-10-14,2007-04-17,2008-04-11,106070-99999,355.033730554196,49.983,6.7,9.16760917946604,6.52039228129181
JU1249,0.9999,B,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,49.126,1.951,2007-10-14,2007-04-17,2008-04-11,106070-99999,355.773278813213,49.983,6.7,9.16760917946604,6.52039228129181
JU1395,0.746648,D,1e-5,0.25326,1e-5,0.746648,1e-5,1e-5,1e-5,1.2e-5,1e-5,1e-5,FALSE,47.2199,0.04619,2008-03-01,2007-09-03,2008-08-28,106070-99999,577.68641455356,49.983,6.7,9.20932015964048,6.74719144807442
JU1400,0.38002,J,1e-5,1e-5,1e-5,0.204082,1e-5,1e-5,0.045369,1e-5,0.370459,1e-5,FALSE,37.3845,-5.988,2008-03-29,2007-10-01,2008-09-25,601010-99999,184.041493052178,35.733,-5.9,18.201119443169,4.39297732670265
JU1409,0.644812,D,1e-5,1e-5,1e-5,0.644812,1e-5,1e-5,1e-5,1e-5,0.152121,1e-5,FALSE,37.468,-5.637,2008-03-31,2007-10-03,2008-09-27,601010-99999,194.816411383572,35.733,-5.9,18.2050081652214,4.39623950428144
JU1440,0.687095,D,1e-5,0.006749,1e-5,0.687095,1e-5,1e-5,1e-5,1e-5,0.18064,1e-5,FALSE,41.41307,2.15231,2008-06-09,2007-12-12,2008-12-06,165220-99999,514.657763690094,40.567,8.167,16.6059094104078,5.37913437660626
JU1491,0.635893,J,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.364017,1e-5,FALSE,46.63,1.06,2008-08-17,2008-02-19,2009-02-13,160590-99999,535.171573558491,45.217,7.65,12.5972167006339,7.6037552594035
JU1530,0.582604,I,1e-5,1e-5,1e-5,0.417306,1e-5,1e-5,1e-5,1e-5,0.582604,1e-5,FALSE,48.7015,2.1725,2008-09-09,2008-03-13,2009-03-08,106070-99999,357.599137125117,49.983,6.7,8.60911931766822,7.5421668937989
JU1543,0.65206,B,1e-5,0.65206,1e-5,0.34785,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,48.7015,2.1725,2008-09-08,2008-03-12,2009-03-07,106070-99999,357.599137125117,49.983,6.7,8.61389895362917,7.54075112388336
JU1568,0.9999,B,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,48.8092,2.3862,2008-10-05,2008-04-08,2009-04-03,106070-99999,338.329575954948,49.983,6.7,8.7504147614222,7.46187436719634
JU1580,0.9999,I,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,FALSE,48.7015,2.1725,2008-10-06,2008-04-09,2009-04-04,106070-99999,357.599137125117,49.983,6.7,8.78323307445055,7.44992511827695
JU1581,0.65758,I,0.067559,0.103112,1e-5,0.171678,1e-5,1e-5,1e-5,1e-5,0.65758,1e-5,FALSE,48.7015,2.1725,2008-10-23,2008-04-26,2009-04-21,106070-99999,357.599137125117,49.983,6.7,9.03395427478881,7.4921772621621
JU1586,0.861778,B,1e-5,0.861778,1e-5,0.138132,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,46.63,1.06,2008-11-03,2008-05-07,2009-05-02,160590-99999,535.171573558491,45.217,7.65,12.5211400221458,7.70825937481373
JU1652,0.582993,D,1e-5,0.337599,1e-5,0.582993,1e-5,1e-5,0.079329,1e-5,1e-5,1e-5,FALSE,-34.86,-56.19,2009-01-01,2008-07-05,2009-06-30,865850-99999,1.43771090081113,-34.85,-56.2,18.5080517082179,5.39511943846877
JU1666,0.976914,I,1e-5,0.022996,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.976914,1e-5,FALSE,48.725018,-3.972104,2009-07-14,2009-01-15,2010-01-10,NA,NA,NA,NA,NA,NA
JU1792,0.689435,B,1e-5,0.689435,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.310475,1e-5,FALSE,46.63278,1.064289,2009-09-27,2009-03-31,2010-03-26,160590-99999,534.933597903959,45.217,7.65,12.6075064522338,8.8092334276543
