strain,isotype,long,lat,state,country,max_pop_frac,pop_assignment,A,B,C,D,E,F,G,H,I,J,K,Hawaiian
MY589,MY920,10.117737,54.346355,Schleswig-Holstein,Germany,0.804639,D,1e-5,1e-5,1e-5,0.804639,1e-5,1e-5,1e-5,1e-5,0.195271,1e-5,1e-5,FALSE
NIC198,NIC195,-31.23849,39.4364016,Azores,Portugal,0.314001,J,0.240886,0.129079,1e-5,0.01215,1e-5,1e-5,0.274649,1e-5,0.029185,0.314001,1e-5,FALSE
MY561,MY2453,7.536628,51.950777,North Rhine-Westphalia,Germany,0.509916,B,1e-5,0.509916,1e-5,0.10959,1e-5,1e-5,1e-5,1e-5,0.235805,0.086836,0.057793,FALSE
MY559,MY2573,7.599099,51.950723000000004,North Rhine-Westphalia,Germany,0.659791,I,1e-5,0.340119,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.659791,1e-5,1e-5,FALSE
NIC207,NIC207,7.24045,43.720505,Provence-Alpes-Côte d'Azur,France,0.670979,D,1e-5,0.046455,1e-5,0.670979,1e-5,1.1e-5,1e-5,1e-5,0.201677,0.080818,1e-5,FALSE
MY684,RC301,10.117737,54.346355,Schleswig-Holstein,Germany,0.9999,D,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE
MY679,MY679,10.117737,54.346355,Schleswig-Holstein,Germany,0.809122,D,1e-5,1e-5,1e-5,0.809122,1e-5,1e-5,1e-5,1e-5,1e-5,0.190788,1e-5,FALSE
MY772,MY772,10.117737,54.346355,Schleswig-Holstein,Germany,0.707546,I,1e-5,0.007009,1e-5,0.285364,1e-5,1e-5,1e-5,1e-5,0.707546,1e-5,1e-5,FALSE
JU3132,JU3132,2.1725,48.7015,Île-de-France,France,0.9999,I,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,FALSE
JU2139,JU1793,1.064289,46.63278,Centre-Val de Loire,France,0.9999,I,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,FALSE
JU2141,JU2141,1.0512,46.6293,Centre-Val de Loire,France,0.780312,I,1e-5,0.219596,1e-5,1e-5,1.1e-5,1.1e-5,1e-5,1e-5,0.780312,1e-5,1e-5,FALSE
JU2151,JU2600,1.951,49.121,Île-de-France,France,0.997591,I,1e-5,1e-5,1e-5,0.002319,1e-5,1e-5,1e-5,1e-5,0.997591,1e-5,1e-5,FALSE
MY803,MY2713,10.117737,54.346355,Schleswig-Holstein,Germany,0.999899,D,1e-5,1e-5,1e-5,0.999899,1e-5,1e-5,1.1e-5,1e-5,1e-5,1e-5,1e-5,FALSE
JU3138,JU2600,1.9595,49.1269,Île-de-France,France,0.997591,I,1e-5,1e-5,1e-5,0.002319,1e-5,1e-5,1e-5,1e-5,0.997591,1e-5,1e-5,FALSE
JU3133,JU1440,2.1725,48.7015,Île-de-France,France,0.687095,D,1e-5,0.006749,1e-5,0.687095,1e-5,1e-5,1e-5,1e-5,0.18064,0.125447,1e-5,FALSE
JU3134,JU3134,2.1725,48.7015,Île-de-France,France,0.76489,D,1e-5,0.016018,1e-5,0.76489,1e-5,1e-5,1e-5,1e-5,0.133263,0.085759,1e-5,FALSE
MY864,MY2453,7.599099,51.950723000000004,North Rhine-Westphalia,Germany,0.509916,B,1e-5,0.509916,1e-5,0.10959,1e-5,1e-5,1e-5,1e-5,0.235805,0.086836,0.057793,FALSE
NIC232,NIC231,7.24045,43.720505,Provence-Alpes-Côte d'Azur,France,0.760836,D,1e-5,1e-5,1e-5,0.760836,0.045083,1e-5,1e-5,1e-5,1e-5,0.194002,1e-5,FALSE
NIC237,NIC236,-9.313417,39.242006,Lisboa,Portugal,0.954727,J,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.045183,0.954727,1e-5,FALSE
MY881,MY2535,7.599099,51.950723000000004,North Rhine-Westphalia,Germany,0.756458,D,1e-5,1e-5,1e-5,0.756458,1e-5,1e-5,1e-5,1e-5,0.072714,0.170748,1e-5,FALSE
BRC20067,BRC20067,121.169736,24.072954,Taiwan,Taiwan,0.999899,D,1e-5,1e-5,1e-5,0.999899,1e-5,1e-5,1e-5,1e-5,1.1e-5,1e-5,1e-5,FALSE
NIC251,NIC251,-28.151364,38.66621,Azores,Portugal,0.699168,G,0.253162,0.04759,1e-5,1e-5,1e-5,1e-5,0.699168,1e-5,1e-5,1e-5,1e-5,FALSE
NIC252,NIC252,-28.147949,38.661313,Azores,Portugal,0.931756,J,0.068154,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.931756,1e-5,FALSE
MY2109,MY2741,10.117737,54.346355,Schleswig-Holstein,Germany,0.666187,K,1e-5,1e-5,1e-5,0.333723,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.666187,FALSE
MY2143,MY2147,10.117737,54.346355,Schleswig-Holstein,Germany,0.490751,B,1e-5,0.490751,1e-5,0.096592,1e-5,1e-5,1e-5,1e-5,0.412577,1e-5,1e-5,FALSE
MY2208,MY2573,10.117737,54.346355,Schleswig-Holstein,Germany,0.659791,I,1e-5,0.340119,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.659791,1e-5,1e-5,FALSE
MY2212,MY2212,10.117737,54.346355,Schleswig-Holstein,Germany,0.730147,D,1e-5,1e-5,1e-5,0.730147,1e-5,1e-5,1e-5,1e-5,0.122791,1e-5,0.146982,FALSE
JU2234,JU2234,-1.583,47.227,Pays de la Loire,France,0.551605,B,1.58e-4,0.551605,1e-5,0.404098,1e-5,1e-5,0.044068,1e-5,1e-5,1e-5,1e-5,FALSE
JU2250,JU2250,-1.891389,48.285278,Brittany,France,0.999892,I,1e-5,1e-5,1e-5,1e-5,1.8e-5,1e-5,1e-5,1e-5,0.999892,1e-5,1e-5,FALSE
NIC255,NIC255,7.266779,43.714834,Provence-Alpes-Côte d'Azur,France,0.679449,D,1e-5,0.207636,1e-5,0.679449,1e-5,1e-5,1e-5,1e-5,0.112835,1e-5,1e-5,FALSE
MY2481,JU311,10.117737,54.346355,Schleswig-Holstein,Germany,0.782558,B,1e-5,0.782558,1e-5,0.065245,1e-5,1e-5,1e-5,1e-5,0.140303,1e-5,0.011824,FALSE
NIC263,NIC256,-9.14875,38.71829,Lisbon Metropolitan Area,Portugal,0.641916,G,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.641916,1e-5,1e-5,0.357994,1e-5,FALSE
NIC258,NIC258,-9.14875,38.71829,Lisbon Metropolitan Area,Portugal,0.999897,G,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.999897,1e-5,1.3e-5,1e-5,1e-5,FALSE
NIC259,NIC259,-9.14875,38.71829,Lisbon Metropolitan Area,Portugal,0.537535,J,1e-5,0.12168,1e-5,1e-5,1e-5,1e-5,0.175711,1e-5,0.165003,0.537535,1e-5,FALSE
NIC260,NIC260,-9.14875,38.71829,Lisbon Metropolitan Area,Portugal,0.701671,G,1e-5,1e-5,1e-5,0.066757,1.5e-5,1e-5,0.701671,1e-5,1e-5,0.231487,1e-5,FALSE
NIC261,NIC261,-9.14875,38.71829,Lisbon Metropolitan Area,Portugal,0.9999,G,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,FALSE
NIC262,NIC262,-9.14875,38.71829,Lisbon Metropolitan Area,Portugal,0.871335,G,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.871335,1e-5,1e-5,0.128575,1e-5,FALSE
NIC265,NIC265,-9.14875,38.71829,Lisbon Metropolitan Area,Portugal,0.999899,G,1e-5,1e-5,1e-5,1.1e-5,1e-5,1e-5,0.999899,1e-5,1e-5,1e-5,1e-5,FALSE
MY2532,MY2535,10.117737,54.346355,Schleswig-Holstein,Germany,0.756458,D,1e-5,1e-5,1e-5,0.756458,1e-5,1e-5,1e-5,1e-5,0.072714,0.170748,1e-5,FALSE
MY2530,MY2530,10.117737,54.346355,Schleswig-Holstein,Germany,0.780637,D,1e-5,1e-5,1e-5,0.780637,1e-5,1e-5,1e-5,1e-5,0.179515,0.039768,1e-5,FALSE
NIC270,NIC267,-9.31592,38.69237,Lisbon Metropolitan Area,Portugal,0.785544,J,1e-5,1e-5,1e-5,0.214366,1e-5,1e-5,1e-5,1e-5,1e-5,0.785544,1e-5,FALSE
NIC266,NIC266,-9.31592,38.69237,Lisbon Metropolitan Area,Portugal,0.671094,J,0.028665,0.252131,1e-5,1e-5,1e-5,1e-5,0.04804,1e-5,1e-5,0.671094,1e-5,FALSE
NIC268,NIC268,-9.31592,38.69237,Lisbon Metropolitan Area,Portugal,0.452486,J,0.368281,1e-5,0.049807,1e-5,0.048434,1e-5,1e-5,1e-5,1e-5,0.452486,0.080932,FALSE
NIC269,NIC269,-9.31592,38.69237,Lisbon Metropolitan Area,Portugal,0.836765,J,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1.1e-5,0.163144,0.836765,1e-5,FALSE
NIC271,NIC271,-9.31592,38.69237,Lisbon Metropolitan Area,Portugal,0.691917,G,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.691917,1e-5,1e-5,0.307993,1e-5,FALSE
NIC273,NIC272,-8.756356,39.769459,Leiria District,Portugal,0.968573,J,1e-5,1e-5,1e-5,1e-5,1.1e-5,1e-5,1e-5,1e-5,0.031337,0.968573,1e-5,FALSE
NIC274,NIC274,-8.756356,39.769459,Leiria District,Portugal,0.9999,J,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,FALSE
NIC275,NIC275,-8.756356,39.769459,Leiria District,Portugal,0.830526,J,1e-5,1e-5,1e-5,0.169383,1e-5,1e-5,1.1e-5,1e-5,1e-5,0.830526,1e-5,FALSE
NIC276,NIC276,-8.756356,39.769459,Leiria District,Portugal,0.9999,J,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,FALSE
MY2585,MY2585,10.117737,54.346355,Schleswig-Holstein,Germany,0.999897,D,1e-5,1e-5,1e-5,0.999897,1e-5,1e-5,1.3e-5,1e-5,1e-5,1e-5,1e-5,FALSE
NIC277,NIC277,7.266138,43.716441,Provence-Alpes-Côte d'Azur,France,0.604955,I,1e-5,1e-5,1e-5,0.394955,1e-5,1e-5,1e-5,1e-5,0.604955,1e-5,1e-5,FALSE
JU2460,JU792,-3.9251,48.6934,Bretagne,France,0.999897,I,1e-5,1e-5,1e-5,1e-5,1.3e-5,1e-5,1e-5,1e-5,0.999897,1e-5,1e-5,FALSE
JU2467,JU2464,-72.525,-13.155,Cusco,Peru,0.626128,D,1e-5,1e-5,1e-5,0.626128,1e-5,1e-5,1e-5,1e-5,0.144591,0.2292,1e-5,FALSE
JU2466,JU2466,-72.266,-13.257,Cusco,Peru,0.9999,D,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE
JU2593,JU2593,2.222334,48.822556,Île-de-France,France,0.9999,K,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,FALSE
JU2478,JU2478,4.351,50.85,Brussels,Belgium,0.377106,I,1e-5,1e-5,0.344298,0.278516,1e-5,1e-5,1e-5,1e-5,0.377106,1e-5,1e-5,FALSE
QG2075,QG2075,-83.376,33.951,Georgia,United States,0.386104,K,0.043366,0.007539,0.097807,0.24636,1e-5,1e-5,0.07614,1e-5,1e-5,0.142644,0.386104,FALSE
QW947,QW947,-70.6106,-33.4213,Santiago Metropolitan Region,Chile,0.519928,D,1e-5,1e-5,1e-5,0.519928,1e-5,0.048502,0.172277,1e-5,0.259223,1e-5,1e-5,FALSE
JU2513,JU2513,22.0736,38.26016,Peloponnisos Dytiki Ellada ke Ionio,Greece,0.865712,D,1e-5,0.072771,1e-5,0.865712,1e-5,1e-5,1e-5,1e-5,0.020539,0.040909,1e-5,FALSE
JU2534,JU2534,0.097087,49.357921,Normandy,France,0.553552,D,1e-5,1e-5,1e-5,0.553552,1e-5,1e-5,1e-5,1e-5,0.446358,1e-5,1e-5,FALSE
ECA36,ECA36,174.745529,-36.893333,Auckland,New Zealand,0.999888,F,1.3e-5,1.9e-5,1e-5,1e-5,1e-5,0.999888,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE
MY2691,RC301,10.11505,54.3491,Schleswig-Holstein,Germany,0.9999,D,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE
MY2623,MY2585,10.11505,54.3491,Schleswig-Holstein,Germany,0.999897,D,1e-5,1e-5,1e-5,0.999897,1e-5,1e-5,1.3e-5,1e-5,1e-5,1e-5,1e-5,FALSE
JU2287,JU2257,1.1,46.6,Centre-Val de Loire,France,0.9999,B,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE
MY2693,MY2693,10.11505,54.3491,Schleswig-Holstein,Germany,0.960228,D,1e-5,1e-5,1e-5,0.960228,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.039682,FALSE
MY2692,MY2741,10.11505,54.3491,Schleswig-Holstein,Germany,0.666187,K,1e-5,1e-5,1e-5,0.333723,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.666187,FALSE
JU2527,JU792,-3.5999,47.8797,Brittany,France,0.999897,I,1e-5,1e-5,1e-5,1e-5,1.3e-5,1e-5,1e-5,1e-5,0.999897,1e-5,1e-5,FALSE
MY2689,MY2713,10.11505,54.3491,Schleswig-Holstein,Germany,0.999899,D,1e-5,1e-5,1e-5,0.999899,1e-5,1e-5,1.1e-5,1e-5,1e-5,1e-5,1e-5,FALSE
MY2688,MY920,10.11505,54.3491,Schleswig-Holstein,Germany,0.804639,D,1e-5,1e-5,1e-5,0.804639,1e-5,1e-5,1e-5,1e-5,0.195271,1e-5,1e-5,FALSE
JU2316,JU2316,-9.1486,38.7175,Lisbon,Portugal,0.999899,G,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.999899,1e-5,1.1e-5,1e-5,1e-5,FALSE
JU2519,JU2519,-9.1486,38.7175,Lisbon,Portugal,0.713829,G,1e-5,1.7e-5,1e-5,1e-5,1e-5,1e-5,0.713829,1e-5,1e-5,0.286074,1e-5,FALSE
JU2522,JU2522,-9.1486,38.7175,Lisbon,Portugal,0.9999,J,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,FALSE
JU2526,JU2526,-9.1486,38.7175,Lisbon,Portugal,0.999899,G,1.1e-5,1e-5,1e-5,1.1e-5,1e-5,1e-5,0.999899,1e-5,1e-5,1e-5,1e-5,FALSE
CX11307,CX11307,-118.10987,34.12946,California,United States,0.59957,C,1e-5,1e-5,0.59957,0.183651,1e-5,1e-5,0.038083,1e-5,0.070271,0.057709,0.050666,FALSE
CX11315,CX11315,-118.10987,34.12946,California,United States,0.855784,C,1e-5,1e-5,0.855784,0.144126,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE
NIC501,NIC501,2.2675,48.77302,Île-de-France,France,0.9999,I,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,FALSE
JU2572,JU2572,2.395372,48.81257,Île-de-France,France,0.709448,B,1e-5,0.709448,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.290462,1e-5,1e-5,FALSE
JU2566,JU2566,2.44599,48.83886,Île-de-France,France,0.770245,B,1e-5,0.770245,1e-5,0.113902,1e-5,1e-5,1e-5,1e-5,0.115773,1e-5,1e-5,FALSE
JU2565,JU2565,1.066213,44.958394,Nouvelle-Aquitaine,France,0.9999,B,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE
JU2575,JU2575,3.0707,49.0857,Île-de-France,France,0.83492,B,1e-5,0.83492,1.5e-5,1e-5,1e-5,1e-5,1e-5,1.3e-5,0.164982,1e-5,1e-5,FALSE
JU2576,JU2576,3.072,49.0861,Île-de-France,France,0.554878,I,0.091793,0.015965,1e-5,0.336444,1e-5,1e-5,1e-5,1e-5,0.554878,1e-5,8.6e-4,FALSE
JU2578,JU2578,2.4315,48.87613,Île-de-France,France,0.542414,J,1e-5,1e-5,1e-5,0.457496,1e-5,1e-5,1e-5,1e-5,1e-5,0.542414,1e-5,FALSE
JU3135,JU3135,2.1725,48.7015,Île-de-France,France,0.999892,D,1.6e-5,1.2e-5,1e-5,0.999892,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE
JU2581,JU2581,1.1,46.6,Centre-Val de Loire,France,0.9999,K,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,FALSE
JU2587,JU2587,3.872016,45.026713,Auvergne-Rhône-Alpes,France,0.791614,K,1e-5,1e-5,1e-5,0.1127,1e-5,1e-5,1e-5,1e-5,0.095606,1e-5,0.791614,FALSE
JU2586,JU2586,2.159,48.897,Île-de-France,France,0.655669,J,1e-5,1e-5,1e-5,0.154338,1e-5,1e-5,0.112716,1e-5,0.077208,0.655669,1e-5,FALSE
JU2592,JU2592,-2.403836,48.628558,Brittany,France,0.816724,B,1e-5,0.816724,1e-5,1e-5,1e-5,1e-5,0.022935,1e-5,0.091148,0.069123,1e-5,FALSE
JU3136,MY2453,2.1725,48.7015,Île-de-France,France,0.509916,B,1e-5,0.509916,1e-5,0.10959,1e-5,1e-5,1e-5,1e-5,0.235805,0.086836,0.057793,FALSE
JU2570,JU2570,-0.2685,46.2657,Nouvelle-Aquitaine,France,0.999889,I,1.2e-5,1.1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.999889,1.9e-5,1e-5,FALSE
NIC508,MY2535,14.261756,40.86183,Campania,Italy,0.756458,D,1e-5,1e-5,1e-5,0.756458,1e-5,1e-5,1e-5,1e-5,0.072714,0.170748,1e-5,FALSE
NIC512,MY2535,14.2623855,40.8625,Campania,Italy,0.756458,D,1e-5,1e-5,1e-5,0.756458,1e-5,1e-5,1e-5,1e-5,0.072714,0.170748,1e-5,FALSE
NIC511,NIC511,14.2623855,40.8625,Campania,Italy,0.664857,D,1e-5,1e-5,1e-5,0.664857,1e-5,1e-5,1e-5,1e-5,0.335053,1e-5,1e-5,FALSE
JU2604,JU1793,1.86175,49.16477,Île-de-France,France,0.9999,I,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,FALSE
JU2605,JU1793,1.86,49.166,Île-de-France,France,0.9999,I,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,FALSE
JU2600,JU2600,1.9496,49.1242,Île-de-France,France,0.997591,I,1e-5,1e-5,1e-5,0.002319,1e-5,1e-5,1e-5,1e-5,0.997591,1e-5,1e-5,FALSE
JU2610,JU2610,1.7915,49.1075,Île-de-France,France,0.996153,I,1e-5,1e-5,1e-5,0.003757,1e-5,1e-5,1e-5,1e-5,0.996153,1e-5,1e-5,FALSE
NIC513,NIC513,-9.167136,38.776038,Lisbon,Portugal,0.9999,J,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,FALSE
NIC514,NIC514,-9.167136,38.776038,Lisbon,Portugal,0.999892,J,1e-5,1e-5,1.8e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.999892,1e-5,FALSE
NIC515,NIC515,-9.165884,38.776775,Lisbon,Portugal,0.417336,J,1e-5,1e-5,1e-5,0.334146,1e-5,1e-5,0.051678,1e-5,0.196771,0.417336,1e-5,FALSE
JU2619,JU2619,-117.275428,32.998352,California,United States,0.674056,D,1e-5,1e-5,0.177774,0.674056,1e-5,1e-5,1e-5,1e-5,1e-5,0.148089,1e-5,FALSE
NIC521,NIC527,-6.304441,36.535679,Andalusia,Spain,0.624523,I,1e-5,0.027725,1e-5,0.154581,1e-5,1e-5,0.036296,1e-5,0.624523,0.156816,1e-5,FALSE
NIC522,NIC522,-6.304441,36.535679,Andalusia,Spain,0.420282,D,1e-5,0.094386,1e-5,0.420282,1e-5,1e-5,0.050353,1e-5,0.198222,0.236696,1e-5,FALSE
NIC523,NIC523,-6.29831,36.535679,Andalusia,Spain,0.463138,D,1e-5,1e-5,1e-5,0.463138,0.143358,1.4e-5,0.020281,1e-5,1e-5,0.373149,1e-5,FALSE
NIC526,NIC526,-6.304441,36.535679,Andalusia,Spain,0.327151,J,1e-5,1e-5,1e-5,0.268203,1e-5,1e-5,0.079686,1e-5,0.14343,0.327151,0.18147,FALSE
NIC528,NIC528,-6.29831,36.535679,Andalusia,Spain,0.762944,D,1e-5,1e-5,1e-5,0.762944,1e-5,1e-5,1e-5,1e-5,0.062372,0.174604,1e-5,FALSE
NIC529,NIC529,-4.784967,37.870754,Andalusia,Spain,0.685008,D,1e-5,0.069957,1e-5,0.685008,1e-5,1e-5,1e-5,1e-5,0.070933,0.174032,1e-5,FALSE
BRC20113,BRC20067,121.283056,24.124167,Taiwan,Taiwan,0.999899,D,1e-5,1e-5,1e-5,0.999899,1e-5,1e-5,1e-5,1e-5,1.1e-5,1e-5,1e-5,FALSE
BRC20231,MY23,120.908112,23.541517,Taiwan Province,Taiwan,0.510437,E,1e-5,1e-5,1e-5,1e-5,0.510437,1e-5,1e-5,1e-5,1e-5,1e-5,0.489473,FALSE
ECA190,ECA189,-155.2225,19.423889,Hawaii,United States,0.842304,E,1e-5,1e-5,0.157606,1e-5,0.842304,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE
ECA192,ECA189,-155.221944,19.424444,Hawaii,United States,0.842304,E,1e-5,1e-5,0.157606,1e-5,0.842304,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE
ECA191,ECA191,-155.221944,19.424167,Hawaii,United States,0.9999,H,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,TRUE
BRC20263,BRC20263,151.2069889,-33.86748611,New South Wales,Australia,0.493992,D,0.142338,1e-5,0.019301,0.493992,1e-5,1e-5,1e-5,1e-5,1e-5,0.344299,1e-5,FALSE
JU2800,JU2800,2.331,48.79,Île-de-France,France,0.467065,B,1e-5,0.467065,1e-5,0.159944,1e-5,1e-5,1e-5,1e-5,0.372911,1e-5,1e-5,FALSE
JU2802,JU2800,2.14167,48.9067,Île-de-France,France,0.467065,B,1e-5,0.467065,1e-5,0.159944,1e-5,1e-5,1e-5,1e-5,0.372911,1e-5,1e-5,FALSE
JU2811,JU2811,151.219453,-33.8632,New South Wales,Australia,0.454041,D,0.192454,1e-5,0.017396,0.454041,1e-5,1e-5,0.164015,1.4e-5,1e-5,0.17203,1e-5,FALSE
XZ1513,XZ1513,-159.63105,22.14787,Hawaii,United States,0.843273,E,1e-5,1e-5,0.156637,1e-5,0.843273,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE
NIC1049,NIC1049,1.45032,43.593561,Occitanie,France,0.593461,I,1e-5,0.381514,1e-5,0.024945,1e-5,1e-5,1e-5,1e-5,0.593461,1e-5,1e-5,FALSE
XZ1514,XZ1514,-159.668,22.149,Hawaii,United States,0.999894,F,1e-5,1.2e-5,1e-5,1e-5,1e-5,0.999894,1e-5,1e-5,1.3e-5,1e-5,1e-5,TRUE
XZ1515,XZ1515,-159.668,22.149,Hawaii,United States,0.569182,E,1e-5,1e-5,0.334387,1e-5,0.569182,0.096351,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE
XZ1516,XZ1516,-159.668,22.149,Hawaii,United States,0.624136,F,0.174719,1e-5,1e-5,1e-5,1e-5,0.624136,1e-5,0.201065,1e-5,1e-5,1e-5,TRUE
JU3137,JU3137,2.1725,48.7015,Île-de-France,France,0.41168,J,1e-5,0.162265,1e-5,0.090919,0.044108,1e-5,1e-5,1e-5,0.290968,0.41168,1e-5,FALSE
WN2035,WN2033,5.694,51.975,Gelderland,Netherlands,0.504377,K,1e-5,1e-5,1e-5,0.495533,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.504377,FALSE
WN2056,WN2050,5.717,51.975,Gelderland,Netherlands,0.60703,I,0.004214,0.388676,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.60703,1e-5,1e-5,FALSE
JU2825,JU2825,2.3862,48.8092,Île-de-France,France,0.9999,B,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE
NIC1107,NIC1107,7.266935,43.716278,Provence-Alpes-Côte d'Azur,France,0.794023,B,1e-5,0.794023,1.2e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.205885,1e-5,1e-5,FALSE
JU2838,JU2838,-97.98832,20.205961,Puebla,Mexico,0.547199,J,0.072467,1e-5,0.048379,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.547199,0.331886,FALSE
JU2841,JU2841,176,-40,,New Zealand,0.605505,D,0.091283,1e-5,1e-5,0.605505,1e-5,1e-5,1e-5,1e-5,0.303132,1e-5,1e-5,FALSE
JU2853,JU2853,-7.545,41.19,Vila Real District,Portugal,0.379173,D,1e-5,0.254208,1e-5,0.379173,1e-5,1e-5,1e-5,1e-5,1e-5,0.366539,1e-5,FALSE
JU2860,JU1200,0.115365,52.19842,England,United Kingdom,0.682998,B,1e-5,0.682998,1e-5,0.316912,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE
JU2862,JU2862,0.1264,52.1944,England,United Kingdom,0.426445,C,1e-5,0.003358,0.426445,0.334683,1e-5,1e-5,0.030298,1e-5,0.135274,0.069892,1e-5,FALSE
JU2866,JU2866,-118.4409,34.0751,California,United States,0.9999,C,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE
JU2878,JU2878,-99.098769,19.29732,Mexico City,Mexico,0.617716,D,1e-5,1e-5,0.18473,0.617716,1e-5,1e-5,1e-5,1e-5,1e-5,0.197475,1e-5,FALSE
JU2879,JU2879,-99.098769,19.29732,Mexico City,Mexico,0.416813,K,1e-5,1e-5,0.298322,0.076059,0.208736,1e-5,1e-5,1e-5,1e-5,1e-5,0.416813,FALSE
JU2908,JU2907,11.2839,43.8063,Tuscany,Italy,0.520035,B,1e-5,0.520035,1e-5,0.479872,1e-5,1e-5,1.3e-5,1e-5,1e-5,1e-5,1e-5,FALSE
JU2906,JU2906,11.2806,43.8023,Tuscany,Italy,0.520081,D,1e-5,0.215485,1e-5,0.520081,1e-5,1e-5,1e-5,1e-5,0.264353,1e-5,1e-5,FALSE
JU2907,JU2907,11.2906,43.8021,Tuscany,Italy,0.520035,B,1e-5,0.520035,1e-5,0.479872,1e-5,1e-5,1.3e-5,1e-5,1e-5,1e-5,1e-5,FALSE
ECA348,ECA348,-122.253889,37.775334,California,United States,0.9999,C,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE
ECA350,ECA349,-117.235442,32.765353,California,United States,0.9999,C,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE
ECA349,ECA349,-117.236741,32.765758,California,United States,0.9999,C,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE
