A	B	C	D	E	F	G	H	I	J	K	samples
1e-05	0.9999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA252
1e-05	1e-05	1e-05	1e-05	1e-05	0.9999	1e-05	1e-05	1e-05	1e-05	1e-05	ECA347
1e-05	1e-05	0.9999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA348
1e-05	1e-05	0.9999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA349
1.3e-05	1.9e-05	1e-05	1e-05	1e-05	0.999888	1e-05	1e-05	1e-05	1e-05	1e-05	ECA36
1e-05	1e-05	1e-05	1e-05	1e-05	0.9999	1e-05	1e-05	1e-05	1e-05	1e-05	ECA363
0.9999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA369
1.8e-05	1e-05	0.232283	1e-05	0.766152	1e-05	1e-05	1e-05	1e-05	0.001477	1e-05	ECA372
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999	1e-05	1e-05	1e-05	ECA396
0.250814	1e-05	1e-05	1e-05	1e-05	0.58748	1e-05	0.161626	1e-05	1e-05	1e-05	ECA701
0.9999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA703
1e-05	1e-05	1e-05	1e-05	0.9999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA705
0.856741	1e-05	1e-05	1e-05	0.143163	1e-05	1e-05	1.6e-05	1e-05	1e-05	1e-05	ECA706
1e-05	1e-05	0.071425	1e-05	0.928485	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA710
1e-05	1e-05	1e-05	1e-05	0.9999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA712
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999	1e-05	1e-05	1e-05	ECA722
1.3e-05	1.6e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.999884	1.7e-05	1e-05	1e-05	ECA723
1e-05	1e-05	0.008431	1e-05	1e-05	0.991476	1.3e-05	1e-05	1e-05	1e-05	1e-05	ECA724
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999	1e-05	1e-05	1e-05	ECA730
0.9999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA732
0.9999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA733
1e-05	1e-05	0.279258	1e-05	0.720652	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA738
1e-05	1e-05	1e-05	1e-05	1e-05	0.999895	1e-05	1e-05	1.5e-05	1e-05	1e-05	ECA740
1e-05	1e-05	1e-05	1e-05	1e-05	0.999898	1e-05	1.2e-05	1e-05	1e-05	1e-05	ECA741
1e-05	1.2e-05	1e-05	1e-05	1.3e-05	0.999881	1e-05	1.6e-05	1e-05	1.8e-05	1e-05	ECA742
1e-05	0.044726	0.025694	0.052205	0.84473	1e-05	1e-05	1e-05	0.032585	1e-05	1e-05	ECA743
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999	1e-05	1e-05	1e-05	ECA744
1e-05	1e-05	1e-05	1.2e-05	1e-05	1e-05	1e-05	0.999898	1e-05	1e-05	1e-05	ECA745
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999	1e-05	1e-05	1e-05	ECA746
1e-05	1e-05	1e-05	1e-05	0.9999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA760
1e-05	1e-05	1e-05	1.1e-05	0.999899	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA768
1e-05	1e-05	1e-05	1e-05	0.999896	1e-05	1e-05	1e-05	1.4e-05	1e-05	1e-05	ECA777
1e-05	1e-05	1e-05	1e-05	0.999896	1e-05	1e-05	1e-05	1.4e-05	1e-05	1e-05	ECA778
1e-05	1e-05	1e-05	1e-05	0.9999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA807
1e-05	1e-05	1e-05	1e-05	0.999899	1e-05	1e-05	1.1e-05	1e-05	1e-05	1e-05	ECA812
1e-05	1e-05	0.262562	0.05976	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.677598	ED3005
1e-05	1e-05	0.335005	0.242701	1e-05	1e-05	1e-05	1e-05	1e-05	0.135938	0.286286	ED3011
1e-05	0.72135	1e-05	0.27856	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ED3012
1e-05	1e-05	1e-05	0.540785	1e-05	1e-05	1e-05	1e-05	0.459125	1e-05	1e-05	ED3017
1e-05	1e-05	1e-05	0.277931	1e-05	1e-05	1e-05	1e-05	1e-05	0.721979	1e-05	ED3040
1e-05	1e-05	1e-05	0.352974	1e-05	1e-05	1e-05	1e-05	0.1527	0.494246	1e-05	ED3046
1.4e-05	1.7e-05	1e-05	0.679556	1e-05	1e-05	1e-05	1e-05	1e-05	0.320344	1e-05	ED3048
1e-05	1e-05	1e-05	0.348489	1e-05	1e-05	1e-05	1e-05	0.148789	0.502642	1e-05	ED3049
1e-05	1e-05	1e-05	0.25064	1e-05	1e-05	1e-05	1e-05	1e-05	0.74927	1e-05	ED3052
1e-05	1e-05	1e-05	0.934359	1e-05	1e-05	1e-05	1e-05	1e-05	0.065551	1e-05	ED3073
1e-05	1e-05	1e-05	0.75534	1e-05	1e-05	0.002367	1e-05	0.034257	0.207966	1e-05	ED3077
1e-05	0.261096	0.063511	0.675313	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	EG4347
1e-05	1e-05	1e-05	0.222824	1e-05	1e-05	0.014195	1e-05	0.193368	1e-05	0.569544	EG4349
1e-05	0.020153	1e-05	0.20714	1e-05	1e-05	1e-05	1e-05	0.124086	0.64855	1e-05	EG4724
1e-05	1e-05	1e-05	0.124487	1e-05	1e-05	0.282191	1e-05	1e-05	0.593241	1e-05	EG4725
1e-05	0.024101	0.406269	0.569549	1e-05	1e-05	1e-05	1.1e-05	1e-05	1e-05	1e-05	EG4946
1e-05	1e-05	1e-05	0.909434	1e-05	1e-05	1e-05	1e-05	1e-05	0.090476	1e-05	GXW1
1e-05	0.160151	1e-05	0.690335	1e-05	1e-05	1e-05	1e-05	0.110807	0.038637	1e-05	JT11398
1e-05	1e-05	1e-05	0.78102	1e-05	1e-05	1e-05	1e-05	1e-05	0.21889	1e-05	JU1088
1e-05	1e-05	0.765549	0.234361	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU1172
1e-05	0.682998	1e-05	0.316912	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU1200
0.08567	0.725328	1e-05	1e-05	1.1e-05	1e-05	1e-05	1e-05	0.188922	1e-05	1e-05	JU1212
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999	1e-05	1e-05	JU1213
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999	1e-05	1e-05	JU1242
1e-05	0.250224	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.749686	1e-05	1e-05	JU1246
1e-05	0.9999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU1249
1e-05	0.25326	1e-05	0.746648	1e-05	1e-05	1e-05	1.2e-05	1e-05	1e-05	1e-05	JU1395
1e-05	1e-05	1e-05	0.204082	1e-05	1e-05	0.045369	1e-05	0.370459	0.38002	1e-05	JU1400
1e-05	1e-05	1e-05	0.644812	1e-05	1e-05	1e-05	1e-05	0.152121	0.202986	1e-05	JU1409
1e-05	0.006749	1e-05	0.687095	1e-05	1e-05	1e-05	1e-05	0.18064	0.125447	1e-05	JU1440
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.364017	0.635893	1e-05	JU1491
1e-05	1e-05	1e-05	0.417306	1e-05	1e-05	1e-05	1e-05	0.582604	1e-05	1e-05	JU1530
1e-05	0.65206	1e-05	0.34785	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU1543
1e-05	0.9999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU1568
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999	1e-05	1e-05	JU1580
0.067559	0.103112	1e-05	0.171678	1e-05	1e-05	1e-05	1e-05	0.65758	1e-05	1e-05	JU1581
1e-05	0.861778	1e-05	0.138132	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU1586
1e-05	0.337599	1e-05	0.582993	1e-05	1e-05	0.079329	1e-05	1e-05	1e-05	1e-05	JU1652
1e-05	0.022996	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.976914	1e-05	1e-05	JU1666
1e-05	0.689435	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.310475	1e-05	1e-05	JU1792
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999	1e-05	1e-05	JU1793
1e-05	0.135212	2e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.179676	1e-05	0.685022	JU1808
0.031787	0.654548	1e-05	0.313585	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU1896
1e-05	0.102256	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.897654	1e-05	1e-05	JU1934
0.199819	0.025318	1e-05	1e-05	1e-05	1.7e-05	1e-05	1e-05	0.524188	0.250599	1e-05	JU2001
0.018765	1e-05	1e-05	0.502314	1e-05	1e-05	1e-05	1e-05	0.182837	0.214345	0.081678	JU2007
1e-05	1e-05	0.686517	0.313393	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2016
0.130618	0.068426	0.40346	0.272208	1e-05	1e-05	1e-05	1e-05	1e-05	0.085963	0.039275	JU2017
0.0127	0.142023	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.845197	1e-05	1e-05	JU2106
1e-05	0.034485	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.831556	0.133879	1e-05	JU2131
1e-05	0.219596	1e-05	1e-05	1.1e-05	1.1e-05	1e-05	1e-05	0.780312	1e-05	1e-05	JU2141
0.000158	0.551605	1e-05	0.404098	1e-05	1e-05	0.044068	1e-05	1e-05	1e-05	1e-05	JU2234
1e-05	1e-05	1e-05	1e-05	1.8e-05	1e-05	1e-05	1e-05	0.999892	1e-05	1e-05	JU2250
1e-05	0.9999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2257
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.999899	1e-05	1.1e-05	1e-05	1e-05	JU2316
1e-05	1e-05	1e-05	0.626128	1e-05	1e-05	1e-05	1e-05	0.144591	0.2292	1e-05	JU2464
1e-05	1e-05	1e-05	0.9999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2466
1e-05	1e-05	0.344298	0.278516	1e-05	1e-05	1e-05	1e-05	0.377106	1e-05	1e-05	JU2478
1e-05	0.072771	1e-05	0.865712	1e-05	1e-05	1e-05	1e-05	0.020539	0.040909	1e-05	JU2513
1e-05	1.7e-05	1e-05	1e-05	1e-05	1e-05	0.713829	1e-05	1e-05	0.286074	1e-05	JU2519
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999	1e-05	JU2522
1.1e-05	1e-05	1e-05	1.1e-05	1e-05	1e-05	0.999899	1e-05	1e-05	1e-05	1e-05	JU2526
1e-05	1e-05	1e-05	0.553552	1e-05	1e-05	1e-05	1e-05	0.446358	1e-05	1e-05	JU2534
1e-05	0.9999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2565
1e-05	0.770245	1e-05	0.113902	1e-05	1e-05	1e-05	1e-05	0.115773	1e-05	1e-05	JU2566
1.2e-05	1.1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.999889	1.9e-05	1e-05	JU2570
1e-05	0.709448	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.290462	1e-05	1e-05	JU2572
1e-05	0.83492	1.5e-05	1e-05	1e-05	1e-05	1e-05	1.3e-05	0.164982	1e-05	1e-05	JU2575
0.091793	0.015965	1e-05	0.336444	1e-05	1e-05	1e-05	1e-05	0.554878	1e-05	0.00086	JU2576
1e-05	1e-05	1e-05	0.457496	1e-05	1e-05	1e-05	1e-05	1e-05	0.542414	1e-05	JU2578
0.132455	0.070774	1e-05	1e-05	1e-05	1e-05	0.351847	1e-05	0.097688	0.347177	1e-05	JU258
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999	JU2581
1e-05	1e-05	1e-05	0.154338	1e-05	1e-05	0.112716	1e-05	0.077208	0.655669	1e-05	JU2586
1e-05	1e-05	1e-05	0.1127	1e-05	1e-05	1e-05	1e-05	0.095606	1e-05	0.791614	JU2587
1e-05	0.816724	1e-05	1e-05	1e-05	1e-05	0.022935	1e-05	0.091148	0.069123	1e-05	JU2592
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999	JU2593
1e-05	1e-05	1e-05	0.002319	1e-05	1e-05	1e-05	1e-05	0.997591	1e-05	1e-05	JU2600
1e-05	1e-05	1e-05	0.003757	1e-05	1e-05	1e-05	1e-05	0.996153	1e-05	1e-05	JU2610
1e-05	1e-05	0.177774	0.674056	1e-05	1e-05	1e-05	1e-05	1e-05	0.148089	1e-05	JU2619
1e-05	0.467065	1e-05	0.159944	1e-05	1e-05	1e-05	1e-05	0.372911	1e-05	1e-05	JU2800
0.192454	1e-05	0.017396	0.454041	1e-05	1e-05	0.164015	1.4e-05	1e-05	0.17203	1e-05	JU2811
1e-05	0.9999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2825
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999	JU2829
0.072467	1e-05	0.048379	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.547199	0.331886	JU2838
0.091283	1e-05	1e-05	0.605505	1e-05	1e-05	1e-05	1e-05	0.303132	1e-05	1e-05	JU2841
1e-05	0.254208	1e-05	0.379173	1e-05	1e-05	1e-05	1e-05	1e-05	0.366539	1e-05	JU2853
1e-05	0.003358	0.426445	0.334683	1e-05	1e-05	0.030298	1e-05	0.135274	0.069892	1e-05	JU2862
1e-05	1e-05	0.9999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2866
1e-05	1e-05	0.18473	0.617716	1e-05	1e-05	1e-05	1e-05	1e-05	0.197475	1e-05	JU2878
1e-05	1e-05	0.298322	0.076059	0.208736	1e-05	1e-05	1e-05	1e-05	1e-05	0.416813	JU2879
1e-05	0.215485	1e-05	0.520081	1e-05	1e-05	1e-05	1e-05	0.264353	1e-05	1e-05	JU2906
1e-05	0.520035	1e-05	0.479872	1e-05	1e-05	1.3e-05	1e-05	1e-05	1e-05	1e-05	JU2907
1e-05	1e-05	1e-05	0.412869	1e-05	1e-05	1e-05	1e-05	0.587041	1e-05	1e-05	JU310
1e-05	0.782558	1e-05	0.065245	1e-05	1e-05	1e-05	1e-05	0.140303	1e-05	0.011824	JU311
1e-05	0.159879	1e-05	0.383364	1e-05	1e-05	1e-05	1e-05	1e-05	0.456677	1e-05	JU3125
1e-05	0.18184	1e-05	0.208539	1e-05	1e-05	1e-05	1e-05	1e-05	0.60954	1e-05	JU3127
1e-05	0.002708	1e-05	0.758862	1e-05	1e-05	0.012627	1e-05	0.225733	1e-05	1e-05	JU3128
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999	1e-05	1e-05	JU3132
1e-05	0.016018	1e-05	0.76489	1e-05	1e-05	1e-05	1e-05	0.133263	0.085759	1e-05	JU3134
1.6e-05	1.2e-05	1e-05	0.999892	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU3135
1e-05	0.162265	1e-05	0.090919	0.044108	1e-05	1e-05	1e-05	0.290968	0.41168	1e-05	JU3137
1.1e-05	1.4e-05	1e-05	1.1e-05	1e-05	1e-05	1e-05	1e-05	0.999887	1.7e-05	1e-05	JU3140
1e-05	1e-05	1e-05	0.322822	1e-05	1e-05	1e-05	1e-05	0.109345	0.20105	0.366712	JU3144
1e-05	1e-05	1e-05	0.372107	1e-05	1e-05	1e-05	1e-05	0.430619	0.197194	1e-05	JU323
1e-05	1e-05	1e-05	0.507458	1e-05	1e-05	1e-05	1e-05	0.492452	1e-05	1e-05	JU346
1e-05	1e-05	1e-05	0.386084	1e-05	1e-05	1e-05	1e-05	0.064104	1e-05	0.549732	JU360
1e-05	0.945253	1e-05	0.054657	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU367
1e-05	0.159227	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.840683	1e-05	1e-05	JU393
1e-05	0.9999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU394
1e-05	0.211507	1e-05	1e-05	1.4e-05	1e-05	1e-05	1e-05	0.7884	1e-05	1e-05	JU397
1e-05	0.9999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU406
1e-05	0.648635	1e-05	0.205326	1e-05	1e-05	1e-05	1e-05	0.145959	1e-05	1e-05	JU440
1e-05	0.194369	1e-05	0.785725	1e-05	1e-05	1e-05	1e-05	0.019826	1e-05	1e-05	JU561
1e-05	1e-05	1e-05	0.505091	1e-05	1e-05	1e-05	1e-05	0.264312	0.230516	1e-05	JU642
1e-05	1e-05	1e-05	0.00738	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99253	JU751
1e-05	1e-05	1e-05	0.288859	0.057705	1e-05	1e-05	1e-05	1e-05	0.653356	1e-05	JU774
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999	1e-05	1e-05	1e-05	1e-05	JU775
1e-05	1e-05	1e-05	1e-05	0.055318	1e-05	0.032413	1e-05	1e-05	0.912188	1e-05	JU778
1e-05	1e-05	1e-05	0.026341	1e-05	1e-05	0.66968	1e-05	1e-05	0.303899	1e-05	JU782
1e-05	1e-05	1e-05	1e-05	1.3e-05	1e-05	1e-05	1e-05	0.999897	1e-05	1e-05	JU792
1e-05	1.7e-05	1e-05	0.42004	1e-05	1.3e-05	1.6e-05	1e-05	1e-05	0.073057	0.506807	JU830
1e-05	0.165206	1e-05	0.267768	1e-05	1e-05	1e-05	1e-05	0.566412	0.000544	1e-05	JU847
1e-05	1e-05	0.066172	0.6276	1e-05	1e-05	1e-05	1e-05	0.02339	0.126669	0.15611	KR314
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999	1e-05	LKC34
1e-05	0.9999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	LSJ1
1e-05	1e-05	1e-05	0.33299	1e-05	1e-05	1e-05	1e-05	1e-05	0.632621	0.03431	MY1
1e-05	1e-05	1e-05	0.624069	1e-05	1e-05	0.302755	1e-05	0.036305	0.036801	1e-05	MY10
1e-05	1e-05	1e-05	1e-05	0.120714	1e-05	1e-05	1e-05	1e-05	1e-05	0.879196	MY16
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999	MY18
1e-05	0.490751	1e-05	0.096592	1e-05	1e-05	1e-05	1e-05	0.412577	1e-05	1e-05	MY2147
1e-05	1e-05	1e-05	0.730147	1e-05	1e-05	1e-05	1e-05	0.122791	1e-05	0.146982	MY2212
1e-05	1e-05	1e-05	1e-05	0.510437	1e-05	1e-05	1e-05	1e-05	1e-05	0.489473	MY23
1e-05	0.509916	1e-05	0.10959	1e-05	1e-05	1e-05	1e-05	0.235805	0.086836	0.057793	MY2453
1e-05	1e-05	1e-05	0.780637	1e-05	1e-05	1e-05	1e-05	0.179515	0.039768	1e-05	MY2530
1e-05	1e-05	1e-05	0.756458	1e-05	1e-05	1e-05	1e-05	0.072714	0.170748	1e-05	MY2535
1e-05	0.340119	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.659791	1e-05	1e-05	MY2573
1e-05	1e-05	1e-05	0.999897	1e-05	1e-05	1.3e-05	1e-05	1e-05	1e-05	1e-05	MY2585
1e-05	1e-05	1e-05	0.960228	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.039682	MY2693
1e-05	1e-05	1e-05	0.999899	1e-05	1e-05	1.1e-05	1e-05	1e-05	1e-05	1e-05	MY2713
1e-05	1e-05	1e-05	0.333723	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.666187	MY2741
1e-05	1e-05	0.412856	0.069194	1e-05	1e-05	1e-05	1e-05	1e-05	0.065168	0.452711	MY518
1e-05	1e-05	1e-05	0.809122	1e-05	1e-05	1e-05	1e-05	1e-05	0.190788	1e-05	MY679
1e-05	0.007009	1e-05	0.285364	1e-05	1e-05	1e-05	1e-05	0.707546	1e-05	1e-05	MY772
1e-05	0.02245	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.97746	MY795
1e-05	1e-05	1e-05	0.804639	1e-05	1e-05	1e-05	1e-05	0.195271	1e-05	1e-05	MY920
1e-05	0.9999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	N2
1e-05	1e-05	1e-05	0.537592	1e-05	1e-05	1e-05	1e-05	0.391043	0.071285	1e-05	NIC1
1e-05	0.381514	1e-05	0.024945	1e-05	1e-05	1e-05	1e-05	0.593461	1e-05	1e-05	NIC1049
1e-05	0.794023	1.2e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.205885	1e-05	1e-05	NIC1107
1e-05	0.042248	1e-05	0.351926	1e-05	1e-05	1e-05	1e-05	0.375155	0.230601	1e-05	NIC166
0.240886	0.129079	1e-05	0.01215	1e-05	1e-05	0.274649	1e-05	0.029185	0.314001	1e-05	NIC195
0.133143	1e-05	1e-05	1e-05	1e-05	1e-05	0.467578	1e-05	0.27033	0.128879	1e-05	NIC199
1e-05	0.425122	1e-05	0.574788	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	NIC2
1e-05	0.046455	1e-05	0.670979	1e-05	1.1e-05	1e-05	1e-05	0.201677	0.080818	1e-05	NIC207
1e-05	1e-05	1e-05	0.760836	0.045083	1e-05	1e-05	1e-05	1e-05	0.194002	1e-05	NIC231
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.045183	0.954727	1e-05	NIC236
1e-05	0.438872	1e-05	0.044505	1e-05	1e-05	1e-05	1e-05	0.205607	0.310945	1e-05	NIC242
0.253162	0.04759	1e-05	1e-05	1e-05	1e-05	0.699168	1e-05	1e-05	1e-05	1e-05	NIC251
0.068154	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.931756	1e-05	NIC252
1e-05	0.207636	1e-05	0.679449	1e-05	1e-05	1e-05	1e-05	0.112835	1e-05	1e-05	NIC255
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.641916	1e-05	1e-05	0.357994	1e-05	NIC256
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.999897	1e-05	1.3e-05	1e-05	1e-05	NIC258
1e-05	0.12168	1e-05	1e-05	1e-05	1e-05	0.175711	1e-05	0.165003	0.537535	1e-05	NIC259
1e-05	1e-05	1e-05	0.066757	1.5e-05	1e-05	0.701671	1e-05	1e-05	0.231487	1e-05	NIC260
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999	1e-05	1e-05	1e-05	1e-05	NIC261
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.871335	1e-05	1e-05	0.128575	1e-05	NIC262
1e-05	1e-05	1e-05	1.1e-05	1e-05	1e-05	0.999899	1e-05	1e-05	1e-05	1e-05	NIC265
0.028665	0.252131	1e-05	1e-05	1e-05	1e-05	0.04804	1e-05	1e-05	0.671094	1e-05	NIC266
