A	B	C	D	E	F	G	H	I	J	K	L	M	samples
1e-05	1e-05	1e-05	0.901958	1e-05	1e-05	0.097932	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	MY2585
1e-05	1e-05	1e-05	0.99988	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	MY2693
1e-05	1e-05	1e-05	0.99988	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	MY2713
1e-05	1e-05	1e-05	0.319306	1e-05	1e-05	0.680584	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	MY2741
0.040335	1e-05	0.637797	1e-05	1e-05	1e-05	0.321768	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	MY518
0.180131	1e-05	0.012879	0.806889	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	MY679
1e-05	1e-05	1e-05	0.296538	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.703352	1e-05	1e-05	MY772
1e-05	1e-05	0.022005	1.2e-05	1e-05	1e-05	0.778931	1e-05	1e-05	1e-05	1e-05	1e-05	0.198963	MY795
1e-05	1e-05	1e-05	0.797214	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.202676	1e-05	1e-05	MY920
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99988	N2
0.079669	1e-05	1e-05	0.532838	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.387392	1e-05	1e-05	NIC1
1e-05	1e-05	1e-05	0.033006	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.591699	1e-05	0.375195	NIC1049
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.205978	1e-05	0.793912	NIC1107
0.219973	1e-05	1e-05	0.378536	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.373787	1e-05	0.027615	NIC166
0.321132	1e-05	1e-05	1e-05	1e-05	0.258855	0.09798	1e-05	1e-05	0.154376	0.048268	1e-05	0.119318	NIC195
0.163554	1e-05	1e-05	1e-05	1e-05	0.447233	1e-05	1e-05	1e-05	0.098927	0.290196	1e-05	1e-05	NIC199
1e-05	1.1e-05	1e-05	0.588182	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.1e-05	1e-05	0.411705	NIC2
0.104344	1e-05	1e-05	0.659249	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.20144	1e-05	0.034877	NIC207
0.225978	1e-05	1e-05	0.733563	0.000585	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.039784	1e-05	NIC231
0.998118	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.001772	1e-05	1e-05	NIC236
0.32248	1e-05	1e-05	0.045926	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.201726	1e-05	0.429778	NIC242
1e-05	1e-05	1e-05	1e-05	1e-05	0.714494	1e-05	1e-05	1e-05	0.207507	1e-05	1e-05	0.077899	NIC251
0.924913	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.074977	1e-05	1e-05	1e-05	NIC252
1e-05	1e-05	1e-05	0.668654	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.139206	1e-05	0.19204	NIC255
0.621123	1.4e-05	1e-05	1.1e-05	1e-05	0.378758	1e-05	1e-05	1.4e-05	1e-05	1e-05	1e-05	1e-05	NIC256
1e-05	1e-05	1e-05	1e-05	1e-05	0.99988	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	NIC258
0.620216	1e-05	1e-05	1e-05	1e-05	0.094621	1e-05	1e-05	1e-05	1e-05	0.156163	1e-05	0.12891	NIC259
0.443326	1e-05	1e-05	0.013608	1e-05	0.542966	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	NIC260
0.320022	1e-05	1e-05	1e-05	1e-05	0.679868	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	NIC261
0.438759	1e-05	1e-05	1e-05	1e-05	0.561131	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	NIC262
1e-05	1e-05	1e-05	1e-05	1e-05	0.99988	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	NIC265
0.606724	1e-05	1e-05	1e-05	1e-05	0.040359	0.100249	1e-05	1e-05	0.013439	1e-05	1e-05	0.23915	NIC266
0.743975	1e-05	0.070377	0.185548	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	NIC267
0.473909	1e-05	1e-05	0.017639	1e-05	1e-05	1e-05	1e-05	1e-05	0.194103	1e-05	0.314258	1e-05	NIC268
0.854932	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.144958	1e-05	1e-05	NIC269
0.589474	1e-05	1.1e-05	1e-05	1e-05	0.410411	1.3e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	NIC271
0.995536	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.004354	1e-05	1e-05	NIC272
0.99988	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	NIC274
0.816066	1e-05	1e-05	0.183824	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	NIC275
0.99988	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	NIC276
1e-05	1e-05	1e-05	0.235499	1e-05	1e-05	0.197958	1e-05	1e-05	1e-05	0.561444	1e-05	0.005008	NIC277
0.045975	1e-05	0.022291	0.282045	1e-05	1e-05	0.161114	1e-05	1e-05	1e-05	0.488496	1e-05	1e-05	NIC3
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.999879	1.1e-05	1e-05	NIC501
1e-05	1e-05	1e-05	0.664842	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.335048	1e-05	1e-05	NIC511
0.99988	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	NIC513
0.99988	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	NIC514
0.458902	1e-05	1e-05	0.31218	1e-05	0.021775	1.1e-05	1e-05	1e-05	1e-05	0.207052	1e-05	1e-05	NIC515
0.323422	1e-05	1e-05	0.36881	1e-05	1.7e-05	0.02335	1e-05	1e-05	1e-05	0.190072	1e-05	0.094259	NIC522
0.349995	1e-05	1e-05	0.462169	1e-05	1e-05	1e-05	1e-05	0.187736	1e-05	1e-05	1e-05	1e-05	NIC523
0.324633	1e-05	1e-05	1e-05	1e-05	1e-05	0.647011	1e-05	1e-05	1e-05	0.028255	1e-05	1e-05	NIC526
0.17442	1.1e-05	1e-05	1e-05	1e-05	0.003111	0.217274	1e-05	1e-05	1e-05	0.567435	1e-05	0.037679	NIC527
0.061892	1e-05	1e-05	0.609024	1e-05	1e-05	0.287344	1e-05	1e-05	1e-05	0.041649	1e-05	1e-05	NIC528
0.181141	1e-05	1e-05	0.673639	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.074047	1e-05	0.071083	NIC529
1e-05	1e-05	0.179639	0.820251	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	PB303
1e-05	1.9e-05	0.841484	1e-05	1e-05	1e-05	1e-05	1e-05	0.158385	1.9e-05	1.2e-05	1e-05	1e-05	PB306
1e-05	1e-05	0.477709	1e-05	1e-05	1e-05	1e-05	1e-05	0.522181	1e-05	1e-05	1e-05	1e-05	PS2025
1e-05	1e-05	1e-05	0.738493	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.261397	PX179
0.093967	1e-05	0.287791	0.180506	1e-05	0.073819	0.265199	1e-05	1e-05	0.050498	1e-05	0.029941	0.018229	QG2075
0.368317	1e-05	0.171195	0.460388	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	QG536
1e-05	1e-05	0.340766	0.01652	1e-05	1e-05	1e-05	1e-05	0.642614	1e-05	1e-05	1e-05	1e-05	QG556
1e-05	1e-05	0.786013	1e-05	1e-05	1e-05	1e-05	1e-05	0.213877	1e-05	1e-05	1e-05	1e-05	QG557
1e-05	0.046166	1e-05	0.514281	1e-05	0.167743	1e-05	1e-05	1e-05	1.8e-05	0.271711	1e-05	1e-05	QW947
1e-05	0.99988	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	QX1211
1e-05	1e-05	0.939709	1e-05	1e-05	1e-05	2e-05	1e-05	1e-05	0.060169	1e-05	1.2e-05	1e-05	QX1212
1e-05	1e-05	0.911982	0.087908	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	QX1233
1e-05	1e-05	0.014662	1e-05	1e-05	1e-05	0.164912	1e-05	0.220173	0.496195	1e-05	1e-05	0.103978	QX1791
0.11338	1e-05	1e-05	0.201005	1e-05	1e-05	1e-05	1e-05	0.685515	1e-05	1e-05	1e-05	1e-05	QX1792
0.077055	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.922835	1e-05	1e-05	1e-05	1e-05	QX1793
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99988	1e-05	1e-05	1e-05	1e-05	QX1794
1e-05	1e-05	0.007678	0.92258	1e-05	1e-05	0.069642	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	RC301
1e-05	1e-05	1e-05	1e-05	1e-05	0.216074	0.783816	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	WN2001
0.033387	1e-05	1e-05	0.433817	1e-05	0.082412	0.227897	1e-05	1e-05	1e-05	1e-05	1e-05	0.222406	WN2002
1e-05	1e-05	0.048361	0.438231	1e-05	1e-05	0.513308	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	WN2033
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.616954	1e-05	0.382936	WN2050
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99988	1e-05	1e-05	1e-05	1e-05	XZ1513
1e-05	0.999875	1.1e-05	1e-05	1.2e-05	1e-05	1e-05	1e-05	1.2e-05	1e-05	1e-05	1e-05	1e-05	XZ1514
1e-05	0.069596	0.219867	1e-05	1.4e-05	1e-05	1e-05	1e-05	0.710434	1e-05	1e-05	1e-05	1e-05	XZ1515
1e-05	0.618606	1e-05	1e-05	1e-05	1e-05	1e-05	0.19879	1e-05	0.182504	1e-05	1e-05	1e-05	XZ1516
