A	B	C	D	E	F	G	H	I	J	K	L	M	N	samples
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99987	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	LKC34
1e-05	0.99987	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	LSJ1
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.483071	1e-05	1e-05	1e-05	0.516809	1e-05	1e-05	1e-05	MY1
1e-05	1e-05	0.032175	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.151854	0.601395	1e-05	1e-05	0.214476	MY10
1e-05	1e-05	1e-05	1e-05	0.016455	1e-05	1e-05	1e-05	0.983425	1e-05	1e-05	1e-05	1e-05	1e-05	MY16
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99987	1e-05	1e-05	1e-05	1e-05	1e-05	MY18
1e-05	0.334944	1e-05	1e-05	1e-05	1e-05	1e-05	0.388969	1e-05	0.275978	1e-05	1e-05	1e-05	1e-05	MY2147
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.325529	0.105478	0.128428	0.440465	1e-05	1e-05	1e-05	MY2212
1e-05	1e-05	1e-05	1e-05	0.464092	1e-05	1e-05	1e-05	0.535788	1e-05	1e-05	1e-05	1e-05	1e-05	MY23
1e-05	0.453585	1e-05	1e-05	1e-05	1e-05	1.1e-05	1e-05	0.071724	0.350482	0.124108	1e-05	1e-05	1e-05	MY2453
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.777419	1e-05	1e-05	0.222461	1e-05	1e-05	1e-05	MY2530
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99987	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	MY2535
1e-05	0.28571	1e-05	1e-05	1e-05	1e-05	1e-05	0.174709	1e-05	0.539471	1e-05	1e-05	1e-05	1e-05	MY2573
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99987	1e-05	1e-05	1e-05	MY2585
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99987	1e-05	1e-05	1e-05	MY2693
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99987	1e-05	1e-05	1e-05	MY2713
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.630338	1e-05	0.369542	1e-05	1e-05	1e-05	MY2741
1e-05	1.4e-05	1e-05	1e-05	1e-05	0.383422	0.047281	1e-05	0.414349	1e-05	0.154842	1.2e-05	1e-05	1e-05	MY518
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.08	1e-05	1e-05	1e-05	0.91988	1e-05	1e-05	1e-05	MY679
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.534819	1e-05	0.465061	1e-05	1e-05	1e-05	1e-05	MY772
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99987	1e-05	1e-05	1e-05	1e-05	1e-05	MY795
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.953196	1e-05	1e-05	0.046684	1e-05	1e-05	1e-05	MY920
1e-05	0.99987	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	N2
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.018495	1e-05	0.447997	0.533398	1e-05	1e-05	1e-05	NIC1
1e-05	0.304396	1e-05	1e-05	1e-05	1e-05	1e-05	0.186688	1e-05	0.508806	1e-05	1e-05	1e-05	1e-05	NIC1049
1e-05	0.731223	1.3e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.268654	1e-05	1e-05	1e-05	1e-05	NIC1107
1e-05	0.009604	1e-05	1e-05	1.2e-05	1e-05	0.156776	0.235742	1e-05	0.338779	0.259007	1e-05	1e-05	1e-05	NIC166
0.107814	0.098113	0.150835	1e-05	1e-05	1e-05	0.37957	0.020214	0.022725	1e-05	1e-05	1e-05	1e-05	0.220659	NIC195
0.072509	1e-05	0.233746	1e-05	1e-05	1e-05	0.207097	1e-05	1e-05	0.041773	1e-05	1e-05	1e-05	0.444785	NIC199
1e-05	0.50898	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.4909	1e-05	1e-05	1e-05	NIC2
1e-05	0.053179	1e-05	1e-05	1e-05	1e-05	1e-05	0.207366	1e-05	0.274714	0.464641	1e-05	1e-05	1e-05	NIC207
1e-05	1e-05	1e-05	1.1e-05	0.032184	1e-05	0.158073	1e-05	1e-05	1e-05	0.809631	1e-05	1e-05	1e-05	NIC231
1e-05	1.1e-05	1e-05	1e-05	1e-05	1e-05	0.992957	1e-05	1e-05	0.006922	1e-05	1e-05	1e-05	1e-05	NIC236
1e-05	0.382915	1e-05	1e-05	1e-05	1e-05	0.245337	0.217213	1e-05	0.154435	1e-05	1e-05	1e-05	1e-05	NIC242
0.190655	0.085002	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.724233	NIC251
0.021534	1e-05	1.7e-05	1.1e-05	1.5e-05	1.1e-05	0.926313	0.052021	1.4e-05	1e-05	1e-05	1.3e-05	1e-05	1e-05	NIC252
1e-05	0.23456	1e-05	1e-05	1e-05	1e-05	1e-05	0.292957	1e-05	0.095987	0.376397	1e-05	1e-05	1e-05	NIC255
1.3e-05	1e-05	1e-05	1e-05	1e-05	1.3e-05	0.657321	1e-05	1e-05	1.9e-05	1e-05	1e-05	1e-05	0.342544	NIC256
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.038329	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.961551	NIC258
1e-05	0.11936	1e-05	1e-05	1e-05	1e-05	0.601158	0.003464	1e-05	0.172655	1e-05	1e-05	1e-05	0.103273	NIC259
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.417612	1e-05	1e-05	1e-05	0.040374	1e-05	1e-05	0.541903	NIC260
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.336738	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.663142	NIC261
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.476208	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.523672	NIC262
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99987	NIC265
0.02211	0.257207	1e-05	1e-05	1e-05	1e-05	0.700825	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.019758	NIC266
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.673463	1e-05	1e-05	1e-05	0.326417	1e-05	1e-05	1e-05	NIC267
0.33432	1e-05	1e-05	1e-05	0.07054	1e-05	0.39269	1e-05	0.101285	1e-05	0.101076	1e-05	1e-05	1e-05	NIC268
1e-05	1e-05	0.046205	1e-05	1e-05	1e-05	0.859195	1e-05	1e-05	0.09449	1e-05	1e-05	1e-05	1e-05	NIC269
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.63067	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.36921	NIC271
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.949819	1e-05	1e-05	0.050061	1e-05	1e-05	1e-05	1e-05	NIC272
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99987	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	NIC274
1e-05	1e-05	1e-05	1e-05	1e-05	1.5e-05	0.722194	1e-05	1e-05	1e-05	0.277681	1e-05	1e-05	1e-05	NIC275
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.923235	1e-05	1e-05	1e-05	0.076644	1e-05	1e-05	1e-05	NIC276
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.623387	1e-05	0.376493	1e-05	1e-05	1e-05	1e-05	NIC277
1e-05	1e-05	1e-05	1e-05	1e-05	0.025667	1e-05	0.378922	1e-05	0.441087	0.154224	1e-05	1e-05	1e-05	NIC3
1e-05	1e-05	0.481895	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.517985	1e-05	1e-05	1e-05	1e-05	NIC501
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.853757	1e-05	0.146123	1e-05	1e-05	1e-05	1e-05	NIC511
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99987	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	NIC513
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99987	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	NIC514
1e-05	1e-05	0.130305	1e-05	1e-05	1e-05	0.376045	0.493538	1e-05	1e-05	1e-05	1.2e-05	1e-05	1e-05	NIC515
1e-05	0.040275	1e-05	1e-05	1e-05	1e-05	0.260538	0.699077	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	NIC522
1e-05	1e-05	1e-05	1e-05	0.125137	1e-05	0.335871	0.052217	1e-05	1e-05	0.486675	1e-05	1e-05	1e-05	NIC523
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.250808	0.641523	0.044324	0.063245	1e-05	1e-05	1e-05	1e-05	NIC526
1e-05	1e-05	0.335687	1e-05	1e-05	1e-05	0.015968	0.527127	1e-05	0.121118	1e-05	1e-05	1e-05	1e-05	NIC527
1e-05	1e-05	0.03516	1e-05	1e-05	1e-05	1e-05	0.766045	1e-05	1e-05	0.198685	1e-05	1e-05	1e-05	NIC528
1e-05	0.104313	1e-05	1e-05	1e-05	1e-05	0.09605	0.53751	1e-05	1e-05	0.262027	1e-05	1e-05	1e-05	NIC529
1e-05	1e-05	1e-05	1e-05	1e-05	0.092198	1e-05	1e-05	1e-05	1e-05	0.907682	1e-05	1e-05	1e-05	PB303
1e-05	1e-05	1e-05	1e-05	1e-05	0.99987	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	PB306
1e-05	1e-05	1e-05	1e-05	1e-05	0.99987	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	PS2025
1e-05	0.282391	1e-05	1e-05	1e-05	1e-05	1e-05	0.348113	1e-05	1e-05	0.369387	1e-05	1e-05	1e-05	PX179
1e-05	1e-05	0.092449	1e-05	1e-05	0.142209	0.150668	0.290494	0.30646	1e-05	1e-05	1e-05	1e-05	0.017639	QG2075
1e-05	1e-05	1e-05	1e-05	1e-05	0.081066	0.239458	0.187775	1e-05	1e-05	0.491601	1e-05	1e-05	1e-05	QG536
1e-05	1e-05	1e-05	1e-05	0.139125	0.860755	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	QG556
1e-05	1e-05	1e-05	1e-05	1e-05	0.99987	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	QG557
1e-05	1e-05	0.213785	1e-05	1e-05	1e-05	0.007181	0.295372	1e-05	1e-05	0.296139	0.0497	1e-05	0.137743	QW947
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99987	1e-05	1e-05	QX1211
1e-05	1e-05	1e-05	1e-05	1e-05	0.788752	1e-05	1e-05	0.211128	1e-05	1e-05	1e-05	1e-05	1e-05	QX1212
1e-05	1e-05	1e-05	1e-05	1e-05	0.785878	1e-05	1e-05	1e-05	1e-05	0.214002	1e-05	1e-05	1e-05	QX1233
0.554703	0.066695	1e-05	1e-05	0.060857	0.122177	1e-05	0.138847	0.056642	1e-05	1e-05	1e-05	1e-05	1e-05	QX1791
1e-05	1e-05	1e-05	1e-05	0.618767	1e-05	0.157369	0.022215	1e-05	1e-05	0.201549	1e-05	1e-05	1e-05	QX1792
1e-05	1e-05	1e-05	1e-05	0.869993	1e-05	0.129879	1e-05	1e-05	1e-05	1e-05	1.7e-05	1e-05	1e-05	QX1793
1e-05	1e-05	1e-05	1e-05	0.859051	0.104461	1e-05	1e-05	1e-05	1e-05	0.036378	1e-05	1e-05	1e-05	QX1794
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99987	1e-05	1e-05	1e-05	RC301
1e-05	1e-05	0.089133	1e-05	1e-05	1e-05	1e-05	0.170832	0.507469	1e-05	1e-05	1e-05	1e-05	0.232465	WN2001
1e-05	0.185149	0.071842	1e-05	1e-05	1e-05	0.067377	0.368943	1e-05	1e-05	0.252086	1e-05	1e-05	0.054524	WN2002
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.193859	0.469728	1e-05	0.336302	1e-05	1e-05	1e-05	WN2033
1e-05	0.309295	0.69058	1e-05	1e-05	1e-05	1e-05	1e-05	1.4e-05	1e-05	1e-05	1e-05	1e-05	1e-05	WN2050
1e-05	1e-05	1e-05	1e-05	0.839795	0.160085	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	XZ1513
1e-05	1e-05	1e-05	1.6e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.999864	1e-05	1e-05	XZ1514
1e-05	1e-05	1e-05	1e-05	0.456091	0.399557	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.144241	1e-05	XZ1515
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.438437	0.528894	0.032559	XZ1516
