A	B	C	D	E	F	G	H	I	J	K	L	samples
1e-05	1e-05	0.045711	0.269841	1e-05	0.319353	1e-05	0.102408	1e-05	0.181142	1e-05	0.081485	NIC195
1e-05	1e-05	1e-05	0.482585	1e-05	0.175788	1e-05	1e-05	0.092233	0.249314	1e-05	1e-05	NIC199
0.552114	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.447786	1e-05	1e-05	1e-05	1e-05	NIC2
0.564479	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.051316	1e-05	1e-05	1e-05	0.384115	NIC207
0.651657	1e-05	1e-05	1e-05	1e-05	0.021419	1e-05	1e-05	1e-05	1e-05	1e-05	0.326834	NIC231
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99989	NIC236
0.033788	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.415887	0.128179	1e-05	1e-05	0.422066	NIC242
1e-05	1e-05	0.156091	0.738958	1e-05	1e-05	1e-05	0.095446	1e-05	0.009426	1e-05	1e-05	NIC251
1e-05	1e-05	1e-05	1e-05	1e-05	0.883119	1e-05	1e-05	1e-05	1e-05	1e-05	0.116781	NIC252
0.64595	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.215667	0.051388	1e-05	1e-05	0.086915	NIC255
1e-05	1e-05	1e-05	0.324665	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.675235	NIC256
1e-05	1e-05	1e-05	0.99989	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	NIC258
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99989	NIC259
0.059196	1e-05	1e-05	0.562795	1e-05	0.129249	1e-05	1e-05	1e-05	1e-05	1e-05	0.24868	NIC260
1e-05	1e-05	1e-05	0.64702	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.35288	NIC261
1e-05	1e-05	1e-05	0.444971	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.554929	NIC262
1e-05	1e-05	1e-05	0.99989	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	NIC265
1e-05	1e-05	1e-05	0.039494	1e-05	0.705246	1e-05	0.25517	1e-05	1e-05	1e-05	1e-05	NIC266
1e-05	1e-05	1e-05	1e-05	1e-05	0.99989	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	NIC267
1e-05	1e-05	0.13815	1e-05	1e-05	0.66366	1e-05	1e-05	1e-05	1e-05	0.1981	1e-05	NIC268
1e-05	1e-05	1e-05	1e-05	1e-05	0.510142	1e-05	1e-05	0.052783	0.091227	1e-05	0.345768	NIC269
1e-05	1e-05	1e-05	0.339724	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.660176	NIC271
1e-05	1e-05	1e-05	1e-05	1e-05	0.877708	1e-05	1e-05	0.122192	1e-05	1e-05	1e-05	NIC272
1e-05	1e-05	1e-05	1e-05	1e-05	0.99989	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	NIC274
0.035241	1e-05	1e-05	1e-05	1e-05	0.703594	1e-05	1e-05	1e-05	1e-05	1e-05	0.261075	NIC275
1e-05	1e-05	1e-05	1e-05	1e-05	0.99989	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	NIC276
0.347471	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.652429	1e-05	1e-05	1e-05	NIC277
0.215406	1e-05	1e-05	1e-05	1e-05	0.082965	0.050243	1e-05	0.651307	1e-05	1e-05	1e-05	NIC3
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.511893	0.488007	1e-05	1e-05	NIC501
0.643408	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.005055	0.338458	0.013	1e-05	1e-05	NIC511
1e-05	1e-05	1e-05	1.9e-05	1e-05	0.430365	1e-05	1e-05	1e-05	1e-05	1e-05	0.569526	NIC513
1e-05	1e-05	1e-05	1e-05	1e-05	0.441057	1e-05	1e-05	1e-05	1e-05	1e-05	0.558843	NIC514
0.296587	1e-05	1e-05	0.02926	1e-05	0.325789	1e-05	1e-05	1e-05	0.194875	1e-05	0.153419	NIC515
0.423514	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.049335	1e-05	0.021749	1e-05	0.505323	NIC522
0.398508	1e-05	1e-05	1e-05	1e-05	0.082141	1e-05	1e-05	1e-05	1e-05	0.090275	0.428996	NIC523
0.391472	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.04481	0.068954	1e-05	0.494684	NIC526
0.147465	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.207294	0.42107	1e-05	0.224091	NIC527
0.789021	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.033772	1e-05	0.177116	NIC528
0.609961	1e-05	1e-05	1e-05	1e-05	0.096994	1e-05	0.064496	0.076507	1e-05	1e-05	0.151973	NIC529
0.83037	1e-05	1e-05	1e-05	1e-05	1e-05	0.16953	1e-05	1e-05	1e-05	1e-05	1e-05	PB303
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.820954	1e-05	1.1e-05	1e-05	0.178944	1e-05	PB306
1e-05	1.4e-05	1e-05	1e-05	1e-05	1e-05	0.472544	1e-05	1e-05	1e-05	0.527352	1e-05	PS2025
0.71478	1e-05	1.4e-05	1.1e-05	1e-05	1.8e-05	1e-05	0.285107	1e-05	1e-05	1e-05	1e-05	PX179
0.189881	1e-05	1e-05	0.066266	1e-05	0.129619	0.443722	0.014044	1e-05	0.156408	1e-05	1e-05	QG2075
0.436985	1e-05	1e-05	1e-05	1e-05	0.152732	0.151377	1e-05	1.1e-05	1e-05	1e-05	0.258825	QG536
0.058043	1e-05	1e-05	1e-05	1e-05	1e-05	0.31693	1e-05	1e-05	1e-05	0.624937	1e-05	QG556
1e-05	1e-05	1.1e-05	1e-05	1e-05	1e-05	0.779848	1e-05	1e-05	1e-05	0.220051	1e-05	QG557
0.401233	1e-05	1e-05	0.019236	0.051842	1e-05	1e-05	1e-05	1e-05	0.163571	1e-05	0.364048	QW947
1e-05	1e-05	1e-05	1e-05	0.99989	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	QX1211
1e-05	1e-05	0.046587	1e-05	1e-05	1e-05	0.953313	1e-05	1e-05	1e-05	1e-05	1e-05	QX1212
0.092126	1e-05	1e-05	1e-05	1e-05	1e-05	0.907774	1e-05	1e-05	1e-05	1e-05	1e-05	QX1233
0.089952	1e-05	0.460257	1e-05	1e-05	1e-05	0.030294	0.106548	1e-05	0.050156	0.25005	0.012692	QX1791
0.16439	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.636139	0.199381	QX1792
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.888412	0.111488	QX1793
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99989	1e-05	QX1794
0.99989	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	RC301
0.234423	1e-05	1e-05	0.294891	1e-05	1e-05	0.227443	1e-05	1e-05	0.243163	1e-05	1e-05	WN2001
0.540271	1e-05	1e-05	0.01605	1e-05	1e-05	1e-05	0.195681	1e-05	0.118934	1e-05	0.128995	WN2002
0.528304	1e-05	1e-05	1e-05	1e-05	1e-05	0.471596	1e-05	1e-05	1e-05	1e-05	1e-05	WN2033
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.313612	1e-05	0.686288	1e-05	1e-05	WN2050
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99989	1e-05	XZ1513
1e-05	1e-05	1e-05	1e-05	0.99989	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	XZ1514
1e-05	1e-05	0.182443	1e-05	0.064193	1e-05	0.265951	1e-05	1e-05	1e-05	0.487332	1e-05	XZ1515
1e-05	1e-05	0.379522	1e-05	0.620378	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	XZ1516
