A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	samples
1e-05	1e-05	0.99986	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU406
1e-05	1e-05	0.612499	1e-05	1e-05	1e-05	0.004349	1e-05	1e-05	1e-05	0.1933	1e-05	1e-05	0.189742	1e-05	JU440
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.732659	1e-05	1e-05	1e-05	0.267211	1e-05	1e-05	1e-05	1e-05	JU561
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.515718	1e-05	0.019108	0.185936	0.10647	1e-05	0.172669	1e-05	JU642
1e-05	1e-05	1e-05	1e-05	0.192391	1e-05	1e-05	0.807479	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU751
1e-05	1e-05	1e-05	1e-05	1e-05	0.050578	0.062058	0.168822	1e-05	0.097114	0.160571	0.460767	1e-05	1e-05	1e-05	JU774
1e-05	1e-05	1e-05	0.85339	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.14648	1e-05	1e-05	1e-05	JU775
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99986	1e-05	1e-05	1e-05	JU778
1e-05	1e-05	1e-05	0.261189	1e-05	1e-05	0.017966	1e-05	1e-05	1e-05	1e-05	0.720725	1e-05	1e-05	1e-05	JU782
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99986	1e-05	JU792
1e-05	1e-05	1e-05	1e-05	0.116772	1e-05	0.127975	0.736912	1e-05	1e-05	0.018231	1e-05	1e-05	1e-05	1e-05	JU830
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.135294	1e-05	1e-05	0.030252	0.150039	1e-05	1e-05	0.684305	1e-05	JU847
1e-05	1e-05	1e-05	1e-05	0.124451	1e-05	1e-05	1e-05	1e-05	1e-05	0.737265	0.101233	1e-05	0.036941	1e-05	KR314
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.144627	0.09256	0.762694	1e-05	1e-05	1e-05	LKC34
1e-05	1e-05	0.99986	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	LSJ1
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.168807	1e-05	0.553524	0.277549	1e-05	1e-05	1e-05	1e-05	MY1
0.019641	1e-05	1e-05	0.093582	1e-05	1e-05	0.005671	0.325466	1e-05	1e-05	0.353223	0.202326	1e-05	1e-05	1e-05	MY10
1e-05	1e-05	1e-05	1e-05	0.99986	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	MY16
1e-05	1e-05	1e-05	1e-05	0.99986	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	MY18
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.594319	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.405551	1e-05	MY2147
1e-05	1e-05	1e-05	1e-05	0.086257	1e-05	0.200266	1e-05	1e-05	1e-05	0.530233	1e-05	1e-05	0.183134	1e-05	MY2212
1e-05	0.381864	1e-05	1e-05	0.618006	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	MY23
1e-05	1e-05	0.384519	1e-05	0.204869	1e-05	1e-05	1e-05	1e-05	1e-05	0.09549	0.001173	1e-05	0.313849	1e-05	MY2453
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.355311	1e-05	1e-05	1e-05	0.37968	0.11047	1e-05	0.154429	1e-05	MY2530
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.052915	0.827187	1e-05	1e-05	0.119778	1e-05	1e-05	1e-05	1e-05	MY2535
1e-05	1e-05	0.307739	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.692131	1e-05	MY2573
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99986	1e-05	1e-05	1e-05	1e-05	MY2585
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99986	1e-05	1e-05	1e-05	1e-05	MY2693
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99986	1e-05	1e-05	1e-05	1e-05	MY2713
1e-05	1e-05	1e-05	1e-05	0.611836	1e-05	1e-05	1e-05	1e-05	1e-05	0.388034	1e-05	1e-05	1e-05	1e-05	MY2741
1e-05	1e-05	1e-05	1e-05	0.351302	1e-05	1e-05	1e-05	0.34749	1e-05	0.283529	0.017568	1e-05	1e-05	1e-05	MY518
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.918662	0.081208	1e-05	1e-05	1e-05	MY679
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.168113	0.217293	1e-05	1e-05	1e-05	1e-05	1e-05	0.614474	1e-05	MY772
1e-05	1e-05	1e-05	1e-05	0.99986	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	MY795
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.666841	1e-05	1e-05	1e-05	0.129808	1e-05	1e-05	0.203231	1e-05	MY920
1e-05	1e-05	0.99986	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	N2
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.499366	0.090051	1e-05	0.410463	1e-05	NIC1
1e-05	1e-05	0.334638	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.010384	1e-05	1e-05	1e-05	0.654857	1e-05	NIC1049
1e-05	1e-05	0.72774	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.2e-05	1e-05	1e-05	1e-05	0.272128	1e-05	NIC1107
1e-05	1e-05	0.023868	1e-05	1e-05	1e-05	1e-05	0.070805	1e-05	0.287487	0.214925	1e-05	1e-05	0.402814	1e-05	NIC166
0.111179	1e-05	1e-05	0.260384	0.013772	1e-05	0.266362	1e-05	1e-05	0.247338	1e-05	0.100875	1e-05	1e-05	1e-05	NIC195
0.232632	1e-05	1e-05	0.470515	1e-05	1e-05	1e-05	1e-05	1e-05	0.243959	1e-05	1e-05	1e-05	0.052785	1e-05	NIC199
1e-05	1e-05	0.384629	1e-05	1e-05	1e-05	0.213488	1e-05	1e-05	1e-05	0.401762	1e-05	1e-05	1e-05	1e-05	NIC2
1e-05	1e-05	0.079897	1e-05	1e-05	1e-05	0.034388	1e-05	1e-05	1e-05	0.528393	0.15538	1e-05	0.201843	1e-05	NIC207
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.767132	0.232738	1e-05	1e-05	1e-05	NIC231
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99986	1e-05	1e-05	1e-05	NIC236
1e-05	1e-05	0.450143	1e-05	1e-05	1e-05	1e-05	0.065006	1e-05	1e-05	1e-05	0.342165	1e-05	0.142576	1e-05	NIC242
1e-05	0.027757	0.053974	0.767287	0.066848	1e-05	0.008193	1e-05	1e-05	0.075851	1e-05	1e-05	1e-05	1e-05	1e-05	NIC251
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.880582	1e-05	0.119288	1e-05	1e-05	1e-05	NIC252
1e-05	1e-05	0.28489	1e-05	1e-05	1e-05	1e-05	0.083808	1e-05	1e-05	0.505422	1e-05	1e-05	0.125769	1e-05	NIC255
1e-05	1e-05	1e-05	0.198394	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.801476	1e-05	1e-05	1e-05	NIC256
1e-05	1e-05	1e-05	0.83481	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.165056	1.4e-05	1e-05	1e-05	NIC258
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.011373	1e-05	1e-05	1e-05	1e-05	0.892806	1e-05	0.095701	1e-05	NIC259
1e-05	1e-05	1e-05	0.460847	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.089298	0.449734	1e-05	1e-05	1e-05	NIC260
1e-05	1e-05	1e-05	0.544875	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.454991	1.4e-05	1e-05	1e-05	NIC261
1e-05	1e-05	1e-05	0.341538	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.658332	1e-05	1e-05	1e-05	NIC262
1e-05	1e-05	1e-05	0.99986	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	NIC265
1e-05	1e-05	0.236201	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.763669	1e-05	1e-05	1e-05	1e-05	1e-05	NIC266
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.878971	0.120899	1e-05	1e-05	1e-05	1e-05	NIC267
1e-05	0.285011	1e-05	1e-05	0.079412	1e-05	1e-05	1e-05	1e-05	0.635457	1e-05	1e-05	1e-05	1e-05	1e-05	NIC268
0.06486	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.580821	1e-05	0.298588	1e-05	0.055621	1e-05	NIC269
1e-05	1e-05	1.3e-05	0.21382	1e-05	1e-05	1e-05	1e-05	1e-05	1.8e-05	1e-05	0.78603	2e-05	1e-05	1e-05	NIC271
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99986	1e-05	1e-05	1e-05	1e-05	1e-05	NIC272
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99986	1e-05	1e-05	1e-05	1e-05	1e-05	NIC274
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.273574	0.311314	0.414992	1e-05	1e-05	1e-05	NIC275
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99986	1e-05	1e-05	1e-05	1e-05	1e-05	NIC276
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.540755	1e-05	1e-05	1e-05	1e-05	1e-05	0.459115	1e-05	NIC277
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.250869	0.014552	0.002875	0.190679	1e-05	1e-05	0.540925	1e-05	NIC3
0.492337	1e-05	1e-05	1e-05	2e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.507522	1e-05	NIC501
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.45466	0.336248	1e-05	1e-05	1e-05	1e-05	1e-05	0.208972	1e-05	NIC511
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.292202	1e-05	0.707668	1e-05	1e-05	1e-05	NIC513
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.319809	1e-05	0.680061	1e-05	1e-05	1e-05	NIC514
0.122231	1e-05	1e-05	1e-05	1e-05	1e-05	1.4e-05	0.509925	1e-05	0.167776	1e-05	0.199955	1e-05	1e-05	1e-05	NIC515
1e-05	1e-05	0.045498	1e-05	1e-05	1e-05	0.229251	0.352525	1e-05	1e-05	1e-05	0.372616	1e-05	1e-05	1e-05	NIC522
1e-05	0.087404	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.483721	0.428755	1e-05	1e-05	1e-05	NIC523
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.810104	1e-05	1e-05	1e-05	0.189766	1e-05	1e-05	1e-05	NIC526
0.31114	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.607535	1e-05	1e-05	1e-05	1e-05	1e-05	0.081206	1e-05	NIC527
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.741234	1e-05	1e-05	0.258636	1e-05	1e-05	1e-05	1e-05	NIC528
1e-05	1e-05	0.123204	1e-05	1e-05	1e-05	1e-05	0.453206	1e-05	0.072053	0.316198	0.035239	1e-05	1e-05	1e-05	NIC529
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.005771	1e-05	0.084764	1e-05	0.909345	1e-05	1e-05	1e-05	1e-05	PB303
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99986	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	PB306
1e-05	1e-05	1e-05	1e-05	1e-05	1.3e-05	1e-05	1e-05	0.999857	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	PS2025
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.704879	1e-05	1e-05	1e-05	0.294991	1e-05	1e-05	1e-05	1e-05	PX179
0.089507	1e-05	1e-05	0.033935	0.194225	1e-05	0.229762	0.135596	0.169536	0.132208	0.015162	1e-05	1e-05	1e-05	1e-05	QG2075
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.155559	0.082095	1e-05	0.529788	0.232449	1e-05	1e-05	1e-05	QG536
1e-05	0.081434	1e-05	1e-05	1e-05	0.003038	1e-05	0.003373	0.912044	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	QG556
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99986	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	QG557
0.225622	1e-05	1e-05	0.029226	1e-05	1e-05	0.191787	1e-05	1e-05	1e-05	0.249815	0.249816	0.053645	1e-05	1e-05	QW947
1e-05	1e-05	1e-05	1.5e-05	1e-05	1.7e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.999848	1e-05	1e-05	QX1211
1e-05	1e-05	1e-05	1e-05	0.105759	1e-05	1e-05	1e-05	0.847241	1e-05	0.046881	1e-05	1e-05	1e-05	1e-05	QX1212
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.77717	1e-05	0.2227	1e-05	1e-05	1e-05	1e-05	QX1233
0.03058	0.671196	0.025172	0.004206	1e-05	1e-05	0.144212	0.124541	1.4e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	QX1791
1e-05	0.597507	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.186519	0.215854	1e-05	1e-05	1e-05	QX1792
1e-05	0.696848	1e-05	1e-05	0.056031	0.095556	1e-05	1e-05	0.001741	1e-05	1e-05	0.149724	1e-05	1e-05	1e-05	QX1793
1e-05	0.798952	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.200918	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	QX1794
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99986	1e-05	1e-05	1e-05	1e-05	RC301
0.056032	1e-05	1e-05	0.221155	0.314008	1e-05	1e-05	0.408695	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	WN2001
0.057504	1e-05	1e-05	1e-05	1e-05	1e-05	0.557673	0.052963	1e-05	1e-05	0.176003	0.155757	1e-05	1e-05	1e-05	WN2002
1e-05	1e-05	1e-05	1e-05	0.402902	1e-05	0.137669	1e-05	1e-05	1e-05	0.459309	1e-05	1e-05	1e-05	1e-05	WN2033
0.686802	1e-05	0.313068	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	WN2050
1e-05	0.732082	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.267788	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	XZ1513
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99986	1e-05	1e-05	XZ1514
1e-05	0.506132	1e-05	1e-05	1.3e-05	1.8e-05	1e-05	1e-05	0.410946	1e-05	1e-05	1e-05	0.082792	1e-05	1e-05	XZ1515
1e-05	0.001245	1e-05	0.121398	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.657098	1e-05	0.220149	XZ1516
