A	B	C	D	E	F	G	H	I	J	samples
1e-05	1e-05	1e-05	0.353434	0.646486	1e-05	1e-05	1e-05	1e-05	1e-05	PB306
1e-05	1e-05	1e-05	0.163061	0.836859	1e-05	1e-05	1e-05	1e-05	1e-05	PS2025
0.410237	1e-05	1e-05	0.589683	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	PX179
0.023057	1e-05	1e-05	0.652458	0.047144	1e-05	1e-05	0.074414	0.097138	0.105749	QG2075
1e-05	1e-05	1e-05	0.584103	1e-05	1e-05	1e-05	0.415817	1e-05	1e-05	QG536
1e-05	1e-05	1e-05	0.200833	0.799087	1e-05	1e-05	1e-05	1e-05	1e-05	QG556
1e-05	1.2e-05	1e-05	0.528223	0.471695	1e-05	1e-05	1e-05	1e-05	1e-05	QG557
0.00934	1e-05	0.276364	0.494451	1e-05	1e-05	0.050882	1e-05	1e-05	0.168913	QW947
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99991	1e-05	1e-05	1e-05	QX1211
1e-05	1e-05	1e-05	0.763625	0.172838	1e-05	1e-05	1e-05	0.063467	1e-05	QX1212
1e-05	1e-05	1e-05	0.647608	0.352312	1e-05	1e-05	1e-05	1e-05	1e-05	QX1233
0.121846	1e-05	0.010957	0.089565	0.247067	1e-05	1e-05	1e-05	0.530515	1e-05	QX1791
0.021041	1e-05	1e-05	0.110335	0.665419	1e-05	1e-05	0.203145	1e-05	1e-05	QX1792
1e-05	0.1162	1e-05	1e-05	0.769981	1e-05	1e-05	0.113749	1e-05	1e-05	QX1793
1e-05	0.014976	1e-05	1e-05	0.984944	1e-05	1e-05	1e-05	1e-05	1e-05	QX1794
1e-05	1e-05	1e-05	0.99991	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	RC301
1e-05	1e-05	0.147895	0.441724	1e-05	1e-05	1e-05	1e-05	0.133827	0.276495	WN2001
0.291728	1e-05	0.033591	0.500382	1e-05	1e-05	1e-05	1e-05	0.038234	0.136015	WN2002
1e-05	1e-05	1e-05	0.945856	0.054064	1e-05	1e-05	1e-05	1e-05	1e-05	WN2033
0.388506	1e-05	0.585344	1e-05	1e-05	1.3e-05	1e-05	1e-05	0.026078	1e-05	WN2050
1e-05	1e-05	1e-05	1e-05	0.99991	1e-05	1e-05	1e-05	1e-05	1e-05	XZ1513
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99991	1e-05	1e-05	1e-05	XZ1514
1e-05	1e-05	1e-05	0.003334	0.901499	1e-05	0.095098	1e-05	1e-05	1e-05	XZ1515
1e-05	1e-05	1e-05	1e-05	1e-05	0.202629	0.627167	1e-05	0.170134	1e-05	XZ1516
